Quarter,Time,Tm,Detail,PHI,NYG
1.0,9:04,Giants,Orleans Darkwa 1 yard rush (Aldrick Rosas kick failed),0,6
,5:28,Eagles,Alshon Jeffery 3 yard pass from Nick Foles (Jake Elliott kick),7,6
,1:26,Giants,Tavarres King 13 yard pass from Eli Manning (Aldrick Rosas kick),7,13
2.0,13:44,Giants,Sterling Shepard 67 yard pass from Eli Manning (Aldrick Rosas kick),7,20
,4:49,Eagles,Zach Ertz 10 yard pass from Nick Foles (Jake Elliott kick),14,20
,2:20,Eagles,Trey Burton 13 yard pass from Nick Foles (Jake Elliott kick),21,20
,0:27,Giants,Aldrick Rosas 28 yard field goal,21,23
3.0,9:18,Eagles,Jake Elliott 28 yard field goal,24,23
,5:47,Eagles,Nelson Agholor 10 yard pass from Nick Foles (Jake Elliott kick),31,23
,1:57,Giants,Tavarres King 57 yard pass from Eli Manning,31,29
4.0,3:56,Eagles,Jake Elliott 20 yard field goal,34,29
