Unnamed: 0,DET,IND
First Downs,28,25
Rush-Yds-TDs,24-116-2,19-82-0
Cmp-Att-Yd-TD-INT,31-39-340-3-0,31-47-385-4-0
Sacked-Yards,1-8,2-17
Net Pass Yards,332,368
Total Yards,448,450
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,8-70,5-45
Third Down Conv.,5-9,9-16
Fourth Down Conv.,0-0,0-0
Time of Possession,30:36,29:24
