Quarter,Time,Down,ToGo,Location,DET,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,DET 35,0,0,"Sam Martin kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,IND 25,0,0,Andrew Luck pass complete short middle to Frank Gore for 6 yards (tackle by Tahir Whitehead),0.610,0.870
1,14:29,2,4,IND 31,0,0,Frank Gore right end for 3 yards (tackle by Devin Taylor),0.870,0.560
1,13:46,3,1,IND 34,0,0,Andrew Luck left guard for 1 yard (tackle by DeAndre Levy and Tahir Whitehead),0.560,1.270
1,12:57,1,10,IND 35,0,0,Frank Gore right guard for 4 yards (tackle by DeAndre Levy and Tyrunn Walker),1.270,1.260
1,12:34,2,6,IND 39,0,0,Frank Gore middle for 2 yards (tackle by Tahir Whitehead),1.260,0.830
1,11:51,3,4,IND 41,0,0,Andrew Luck pass complete short middle to T.Y. Hilton for 13 yards (tackle by Glover Quin),0.830,2.520
1,11:07,1,10,DET 46,0,0,Andrew Luck sacked by Kerry Hyder for -6 yards,2.520,1.170
1,10:22,2,16,IND 48,0,0,--,1.170,0.630
1,9:55,3,15,IND 49,0,0,Andrew Luck pass complete short middle to Robert Turbin for 3 yards (tackle by Haloti Ngata),0.630,0.070
1,9:16,4,12,DET 48,0,0,"Pat McAfee punts 48 yards, touchback",0.070,-0.280
1,9:06,1,10,DET 20,0,0,Matthew Stafford pass complete short right to Golden Tate for 11 yards (tackle by Patrick Robinson and T.J. Green),0.280,1.000
1,8:28,1,10,DET 31,0,0,Ameer Abdullah middle for 4 yards (tackle by Robert Mathis),1.000,1.000
1,8:02,2,6,DET 35,0,0,"Matthew Stafford pass complete short middle to Anquan Boldin for 18 yards (tackle by Mike Adams). Penalty on Golden Tate: Offensive Holding, 10 yards",1.000,1.800
1,7:43,1,10,DET 43,0,0,Ameer Abdullah right tackle for 4 yards (tackle by Erik Walden and Sio Moore),1.800,1.790
1,7:10,2,6,DET 47,0,0,Matthew Stafford pass complete short right to Golden Tate for 6 yards (tackle by Patrick Robinson),1.790,2.460
1,6:26,1,10,IND 47,0,0,Matthew Stafford pass incomplete short left intended for Marvin Jones,2.460,1.910
1,6:21,2,10,IND 47,0,0,Ameer Abdullah right end for 13 yards (tackle by Darryl Morris),1.910,3.310
1,5:31,1,10,IND 34,0,0,Matthew Stafford pass complete short middle to Theo Riddick for 13 yards (tackle by Sio Moore),3.310,4.170
1,4:51,1,10,IND 21,6,0,"Theo Riddick middle for 21 yards, touchdown",4.170,7.000
1,4:51,,,IND 21,7,0,Matt Prater kicks extra point good,0.000,0.000
1,4:51,,,DET 35,7,0,"Sam Martin kicks off 65 yards, touchback",0.000,-0.610
1,4:43,1,10,IND 25,7,0,Andrew Luck pass complete short right to Donte Moncrief for no gain,0.610,0.060
1,4:04,2,10,IND 25,7,0,Frank Gore middle for 2 yards (tackle by Tahir Whitehead and Khyri Thornton),0.060,-0.360
1,3:22,3,8,IND 27,7,0,Andrew Luck pass incomplete short right intended for T.Y. Hilton,-0.360,-1.570
1,3:18,4,8,IND 27,7,0,"Pat McAfee punts 52 yards, returned by Andre Roberts for -1 yards (tackle by Darryl Morris)",-1.570,-0.280
1,3:05,1,10,DET 20,7,0,Ameer Abdullah left end for 1 yard (tackle by Kendall Langford and Sio Moore),0.280,-0.130
1,2:38,2,9,DET 21,7,0,Matthew Stafford pass incomplete short right intended for Marvin Jones (defended by Patrick Robinson),-0.130,-0.820
1,2:32,3,9,DET 21,7,0,Matthew Stafford pass complete short right to Golden Tate for 3 yards (tackle by Darryl Morris),-0.820,-1.770
1,2:00,4,6,DET 24,7,0,"Sam Martin punts 57 yards, returned by Quan Bray for 4 yards (tackle by Don Carey)",-1.770,-0.480
1,1:49,1,10,IND 23,7,0,Frank Gore middle for 2 yards (tackle by Tahir Whitehead),0.480,0.200
1,1:27,2,8,IND 25,7,0,Andrew Luck pass incomplete short right intended for Dwayne Allen (defended by Tahir Whitehead),0.200,-0.490
1,1:23,3,8,IND 25,7,0,Andrew Luck pass incomplete short left intended for T.Y. Hilton (defended by DeAndre Levy),-0.490,-1.700
1,1:19,4,8,IND 25,7,0,"Pat McAfee punts 47 yards, out of bounds. Penalty on Johnson Bademosi: Offensive Holding, 10 yards",-1.700,-0.040
1,1:11,1,10,DET 18,7,0,Theo Riddick left end for -1 yards (tackle by Trent Cole),0.040,-0.650
1,0:37,2,11,DET 17,7,0,Matthew Stafford pass complete short left to Theo Riddick for 8 yards (tackle by Josh McNary),-0.650,-0.270
Quarter,Time,Down,ToGo,Location,DET,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,DET 25,7,0,Matthew Stafford for 6 yards (tackle by Darryl Morris),-0.270,1.000
2,14:26,1,10,DET 31,7,0,Theo Riddick middle for 5 yards (tackle by Josh McNary and T.J. Green),1.000,1.140
2,13:45,2,5,DET 36,7,0,Matthew Stafford pass complete short middle to Marvin Jones for 27 yards (tackle by Mike Adams),1.140,3.120
2,13:03,1,10,IND 37,7,0,Matthew Stafford pass incomplete deep left intended for Marvin Jones (defended by Antonio Cromartie),3.120,2.570
2,12:55,2,10,IND 37,7,0,Matthew Stafford pass complete short middle to Andre Roberts for 8 yards (tackle by Antonio Cromartie),2.570,2.940
2,12:14,3,2,IND 29,7,0,Matthew Stafford pass complete short right to Anquan Boldin for 3 yards (tackle by Darryl Morris),2.940,3.840
2,11:48,1,10,IND 26,7,0,Matthew Stafford pass incomplete,3.840,3.300
2,11:41,2,10,IND 26,7,0,Matthew Stafford pass incomplete deep right intended for Marvin Jones,3.300,2.610
2,11:36,3,10,IND 26,7,0,Matthew Stafford pass complete short right to Eric Ebron for 13 yards (tackle by Antonio Morrison),2.610,4.710
,,,,,,,"IND challenged the pass completion ruling, and the play was upheld.",,
2,11:07,1,10,IND 13,7,0,Golden Tate right end for 2 yards (tackle by Mike Adams and Trent Cole),4.710,4.390
2,10:25,2,8,IND 11,7,0,Matthew Stafford pass complete short middle to Theo Riddick for 10 yards (tackle by T.J. Green),4.390,4.390
2,9:59,2,8,IND 11,7,0,Timeout #2 by Indianapolis Colts,4.390,6.970
2,9:59,1,1,IND 1,7,0,Dwayne Washington middle for no gain (tackle by Zach Kerr and Winston Guy),6.970,5.910
2,9:16,2,1,IND 1,13,0,"Dwayne Washington middle for 1 yard, touchdown",5.910,7.000
2,9:16,,,IND 1,14,0,Matt Prater kicks extra point good,0.000,0.000
2,9:16,,,DET 35,14,0,"Sam Martin kicks off 69 yards, returned by Quan Bray for 25 yards (tackle by Adairius Barnes)",0.000,-0.340
2,9:06,1,10,IND 21,14,0,Andrew Luck pass complete deep middle to Donte Moncrief for 19 yards (tackle by Darius Slay),0.340,1.600
2,8:32,1,10,IND 40,14,0,Frank Gore left guard for 4 yards (tackle by Ezekiel Ansah and Devin Taylor),1.600,1.590
2,7:54,2,6,IND 44,14,0,Andrew Luck pass complete short left to Dwayne Allen for 3 yards (tackle by Tyrunn Walker and Devin Taylor),1.590,1.290
2,7:09,3,3,IND 47,14,0,Andrew Luck pass complete short left to Dwayne Allen for 15 yards (tackle by Rafael Bush and Glover Quin),1.290,3.050
2,6:30,1,10,DET 38,14,0,Andrew Luck sacked by Kerry Hyder for -11 yards,3.050,1.020
2,5:47,2,21,DET 49,14,0,Andrew Luck pass incomplete short middle intended for T.Y. Hilton,1.020,0.370
2,5:44,3,21,DET 49,14,0,Andrew Luck pass complete deep middle to T.Y. Hilton for 17 yards (tackle by Quandre Diggs),0.370,1.270
2,4:57,4,4,DET 32,14,3,Adam Vinatieri 50 yard field goal good,1.270,3.000
2,4:57,,,IND 35,14,3,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.610
2,4:50,1,10,DET 25,14,3,Ameer Abdullah middle for 7 yards (tackle by Mike Adams),0.610,1.010
2,4:27,2,3,DET 32,14,3,Ameer Abdullah right end for 9 yards (tackle by Robert Mathis),1.010,1.660
2,4:01,1,10,DET 41,14,3,Ameer Abdullah right end for 10 yards (tackle by Patrick Robinson),1.660,2.320
2,3:20,1,10,IND 49,14,3,Matthew Stafford pass complete short right to Eric Ebron for 5 yards (tackle by Patrick Robinson),2.320,2.460
2,2:43,2,5,IND 44,14,3,Matthew Stafford pass complete deep right to Marvin Jones for 32 yards (tackle by Patrick Robinson),2.460,4.780
2,2:00,1,10,IND 12,14,3,Ameer Abdullah left guard for 6 yards (tackle by D'Qwell Jackson and Mike Adams),4.780,4.780
2,1:46,1,10,IND 12,14,3,Timeout #3 by Indianapolis Colts,4.780,5.210
2,1:46,2,4,IND 6,14,3,Matthew Stafford pass incomplete short right intended for Marvin Jones,5.210,4.380
2,1:43,3,4,IND 6,20,3,"Matthew Stafford pass complete short left to Eric Ebron for 6 yards, touchdown",4.380,7.000
2,1:43,,,IND 6,21,3,Matt Prater kicks extra point good,0.000,0.000
2,1:43,,,DET 35,21,3,"Sam Martin kicks off 65 yards, touchback",0.000,-0.610
2,1:37,1,10,IND 25,21,3,Andrew Luck pass complete deep right to Donte Moncrief for 32 yards (tackle by Glover Quin),0.610,2.720
2,1:28,1,10,DET 43,21,3,Andrew Luck pass complete short left to Josh Ferguson for 14 yards (tackle by Tahir Whitehead),2.720,3.640
2,1:21,1,10,DET 29,21,3,Andrew Luck pass complete short middle to Dwayne Allen for 16 yards (tackle by Rafael Bush and Tahir Whitehead),3.640,4.710
2,1:00,1,10,DET 13,21,3,Josh Ferguson right end for -2 yards (tackle by Ezekiel Ansah),4.710,3.760
2,0:37,2,12,DET 15,21,3,Andrew Luck pass complete short right to Phillip Dorsett for 5 yards,3.760,3.650
2,0:33,3,7,DET 10,21,3,Andrew Luck pass complete short left to T.Y. Hilton for 8 yards (tackle by Quandre Diggs),3.650,6.740
2,0:15,1,2,DET 2,21,3,Andrew Luck pass incomplete short right intended for Phillip Dorsett,6.740,5.720
2,0:10,2,2,DET 2,21,9,"Andrew Luck pass complete short middle to Donte Moncrief for 2 yards, touchdown",5.720,7.000
2,0:10,,,DET 2,21,9,"Adam Vinatieri kicks extra point good. Penalty on Jonotthan Harrison: False Start, 5 yards (no play)",0.000,-1.000
2,0:10,,,DET 2,21,10,Adam Vinatieri kicks extra point good,0.000,0.000
2,0:10,,,IND 35,21,10,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.610
2,0:05,1,10,DET 25,21,10,Matthew Stafford kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,DET,IND,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,IND 35,21,10,"Pat McAfee kicks off 65 yards, touchback",0.000,0.610
3,15:00,1,10,DET 25,21,10,Matthew Stafford pass complete short left to Ameer Abdullah for 1 yard (tackle by Sio Moore),0.610,0.200
3,14:24,2,9,DET 26,21,10,"Penalty on Taylor Decker: False Start, 4 yards (no play)",0.200,-0.340
3,14:01,2,13,DET 22,21,10,Matthew Stafford pass complete short left to Marvin Jones for 4 yards (tackle by Sio Moore),-0.340,-0.490
3,13:22,3,9,DET 26,21,10,Matthew Stafford pass complete short right to Golden Tate for 3 yards (tackle by Sio Moore),-0.490,-1.440
3,12:48,4,6,DET 29,21,10,"Sam Martin punts 56 yards, fair catch by Quan Bray",-1.440,0.220
3,12:41,1,10,IND 15,21,10,Frank Gore middle for 6 yards (tackle by Devin Taylor),-0.220,0.210
3,12:07,2,4,IND 21,21,10,Frank Gore middle for 3 yards (tackle by Devin Taylor),0.210,-0.270
3,11:26,3,1,IND 24,21,10,Robert Turbin middle for 4 yards (tackle by Tahir Whitehead),-0.270,0.810
