Quarter,Time,Down,ToGo,Location,IND,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Blair Walsh kicks off 67 yards, returned by Quan Bray for 11 yards (tackle by Tanner McEvoy)",0.000,0.380
1,14:55,1,10,IND 9,0,0,Frank Gore right guard for 4 yards (tackle by K.J. Wright),-0.380,-0.480
1,14:17,2,6,IND 13,0,0,Jacoby Brissett pass incomplete short right intended for T.Y. Hilton,-0.480,-0.950
1,14:12,3,6,IND 13,0,0,Jacoby Brissett pass complete short left to T.Y. Hilton for 11 yards (tackle by Shaquill Griffin),-0.950,0.540
1,13:37,1,10,IND 24,0,0,Jacoby Brissett pass incomplete deep left intended for T.Y. Hilton (defended by Richard Sherman),0.540,0.000
1,13:30,2,10,IND 24,0,0,Frank Gore middle for 1 yard (tackle by Michael Bennett and Sheldon Richardson),0.000,-0.560
1,12:48,3,9,IND 25,0,0,Jacoby Brissett pass complete short right to Donte Moncrief for 2 yards (tackle by Shaquill Griffin and Earl Thomas),-0.560,-1.570
1,12:09,4,7,IND 27,0,0,"Rigoberto Sanchez punts 36 yards, out of bounds",-1.570,-1.400
1,12:03,1,10,SEA 37,0,0,Chris Carson right guard for no gain (tackle by Jabaal Sheard),1.400,0.860
1,11:33,2,10,SEA 37,0,0,Eddie Lacy left tackle for 2 yards (tackle by Jabaal Sheard),0.860,0.430
1,10:58,3,8,SEA 39,0,0,Russell Wilson pass complete deep right to Doug Baldwin for 27 yards (tackle by Vontae Davis),0.430,3.310
1,10:24,1,10,IND 34,0,0,Russell Wilson pass complete short left to Doug Baldwin for 4 yards (tackle by Rashaan Melvin),3.310,3.310
1,10:01,2,6,IND 30,0,0,Tyler Lockett right end for 2 yards (tackle by Vontae Davis),3.310,2.870
1,9:23,3,4,IND 28,0,0,Russell Wilson right end for 3 yards (tackle by John Simon),2.870,1.950
1,9:03,4,1,IND 25,0,3,Blair Walsh 44 yard field goal good,1.950,3.000
1,8:59,,,SEA 35,0,3,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.610
1,8:59,1,10,IND 25,0,3,Frank Gore right guard for 4 yards (tackle by Sheldon Richardson),0.610,0.600
1,8:19,2,6,IND 29,0,3,Jacoby Brissett pass complete deep middle to Brandon Williams for 32 yards (tackle by Earl Thomas and Shaquill Griffin),0.600,2.980
1,7:37,1,10,SEA 39,0,3,Frank Gore right tackle for 3 yards (tackle by Bobby Wagner and Jarran Reed),2.980,2.850
1,6:55,2,7,SEA 36,0,3,"Penalty on Adam Redmond: False Start, 5 yards (no play)",2.850,2.170
1,6:28,2,12,SEA 41,0,3,Jacoby Brissett pass complete short left to Kamar Aiken for 4 yards (tackle by Earl Thomas),2.170,2.020
1,5:43,3,8,SEA 37,0,3,"Penalty on Adam Redmond: False Start, 5 yards (no play)",2.020,1.360
1,5:20,3,13,SEA 42,0,3,Jacoby Brissett for 6 yards (tackle by Kam Chancellor),1.360,0.880
1,5:02,4,7,SEA 36,0,3,Rigoberto Sanchez punts 35 yards,0.880,0.380
1,4:52,1,10,SEA 1,0,3,Eddie Lacy middle for no gain (tackle by Rashaan Melvin and Johnathan Hankins),-0.380,-0.780
1,4:18,2,10,SEA 1,0,3,Eddie Lacy right guard for 5 yards (tackle by Jonathan Bostic and Antonio Morrison),-0.780,-0.840
1,3:38,3,5,SEA 6,2,3,"Russell Wilson sacked by Nate Hairston for -6 yards, safety",-0.840,-2.000
,,,,,,,"IND challenged the incomplete pass ruling, and the original play was overturned.",,
1,3:33,,,SEA 20,2,3,"Jon Ryan kicks off 66 yards, returned by Quan Bray for 22 yards (tackle by Michael Wilhoite)",0.000,-1.330
1,3:33,1,10,IND 36,2,3,Jacoby Brissett pass complete short left to Jack Doyle for 4 yards (tackle by Michael Wilhoite),1.330,1.330
1,3:01,2,6,IND 40,2,3,Frank Gore right tackle for 3 yards (tackle by Frank Clark),1.330,1.030
1,2:21,3,3,IND 43,2,3,Jacoby Brissett pass incomplete short left intended for Kamar Aiken (defended by Shaquill Griffin),1.030,-0.520
1,2:16,4,3,IND 43,2,3,Rigoberto Sanchez punts 32 yards,-0.520,-0.610
1,2:08,1,10,SEA 25,2,3,Russell Wilson pass complete short middle to Chris Carson for 8 yards (tackle by Jonathan Bostic),0.610,1.140
1,1:38,2,2,SEA 33,2,3,Chris Carson left end for 1 yard (tackle by Antonio Morrison),1.140,0.560
1,1:07,3,1,SEA 34,2,3,Chris Carson middle for 11 yards (tackle by Matthias Farley and Malik Hooker),0.560,1.930
1,0:38,1,10,SEA 45,2,3,Russell Wilson pass complete short left to Amara Darboh for 5 yards (tackle by Vontae Davis),1.930,2.060
1,0:09,2,5,,2,3,Russell Wilson sacked by Jabaal Sheard for -3 yards,2.060,0.960
,,,,,,,"IND challenged the pass completion ruling, and the original play was overturned.",,
Quarter,Time,Down,ToGo,Location,IND,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,8,SEA 47,2,3,"Russell Wilson pass complete short right to Tyler Lockett for 14 yards (tackle by Jonathan Bostic and Nate Hairston). Penalty on Germain Ifedi: Offensive Holding, 10 yards (no play)",0.960,-0.360
2,14:27,3,18,SEA 37,2,3,Russell Wilson pass complete short middle to Tyler Lockett for 13 yards (tackle by Jonathan Bostic),-0.360,-0.060
2,13:47,4,5,,2,3,"Jon Ryan punts 35 yards, fair catch by Quan Bray",-0.060,0.220
2,13:43,1,10,IND 15,2,3,Frank Gore left guard for 2 yards (tackle by K.J. Wright),-0.220,-0.440
2,13:08,2,8,IND 17,2,3,Jacoby Brissett pass complete short middle to Jack Doyle for 4 yards (tackle by Kam Chancellor),-0.440,-0.630
2,12:32,3,4,IND 21,2,9,"Jacoby Brissett pass incomplete short left intended for Kamar Aiken is intercepted by Justin Coleman at IND-28 and returned for 28 yards, touchdown",-0.630,-7.000
2,,,,IND 15,2,10,Blair Walsh kicks extra point good,,
2,12:25,,,SEA 35,2,10,"Blair Walsh kicks off 67 yards, returned by Quan Bray for 22 yards (tackle by Delano Hill)",0.000,-0.280
2,12:20,1,10,IND 20,2,10,"Frank Gore middle for no gain (tackle by Richard Sherman and Frank Clark). Penalty on Jarran Reed: Defensive Holding, 5 yards (no play)",0.280,0.610
2,11:57,1,10,IND 25,2,10,Jacoby Brissett pass complete short right to Frank Gore for 19 yards (tackle by Frank Clark),0.610,1.860
2,11:09,1,10,IND 44,2,10,Robert Turbin left tackle for 4 yards (tackle by Shaquill Griffin),1.860,1.860
2,10:35,2,6,IND 48,2,10,Robert Turbin left tackle for -2 yards (tackle by K.J. Wright and Frank Clark),1.860,0.890
2,10:02,3,8,IND 46,2,10,"Jacoby Brissett pass incomplete short right intended for Kamar Aiken. Penalty on Richard Sherman: Defensive Holding, 5 yards (no play)",0.890,2.320
2,9:58,1,10,SEA 49,2,10,Jacoby Brissett pass incomplete deep left intended for Brandon Williams (defended by Earl Thomas),2.320,1.780
2,9:51,2,10,SEA 49,2,10,Jacoby Brissett sacked by Marcus Smith and Nazair Jones for -3 yards,1.780,0.700
2,9:06,3,13,IND 48,2,10,Jacoby Brissett pass complete short middle to T.Y. Hilton for 13 yards (tackle by Justin Coleman),0.700,2.980
,,,,,,,"SEA challenged the first down ruling, and the play was upheld.",,
2,8:40,1,10,SEA 39,2,10,Frank Gore middle for 3 yards (tackle by Jarran Reed),2.980,2.850
2,8:02,2,7,SEA 36,2,10,Jacoby Brissett left tackle for 25 yards (tackle by Earl Thomas),2.850,4.840
2,7:23,1,10,SEA 11,2,10,Robert Turbin left tackle for 2 yards (tackle by Jarran Reed and Sheldon Richardson),4.840,4.510
2,6:41,2,8,SEA 9,2,10,Jacoby Brissett pass complete short middle to Jack Doyle for 7 yards (tackle by Kam Chancellor),4.510,5.120
2,6:06,3,1,SEA 2,2,10,Robert Turbin left tackle for 1 yard (tackle by Bobby Wagner),5.120,6.970
2,5:35,1,1,SEA 1,8,10,"Robert Turbin left guard for 1 yard, touchdown",6.970,7.000
2,5:25,,,SEA 2,8,10,"Two Point Attempt: Jacoby Brissett pass incomplete intended for Jack Doyle, conversion fails",0.000,-1.000
2,5:25,,,IND 35,8,10,"Rigoberto Sanchez kicks off 65 yards, touchback",0.000,-0.610
2,5:25,1,10,SEA 25,8,10,Chris Carson left tackle for no gain (tackle by Jonathan Bostic and John Simon),0.610,0.060
2,4:47,2,10,SEA 25,8,10,Russell Wilson right end for 8 yards (tackle by Antonio Morrison),0.060,0.430
2,4:08,3,2,SEA 33,8,10,Russell Wilson for 4 yards (tackle by Jonathan Bostic),0.430,1.400
2,3:41,1,10,SEA 37,8,10,Russell Wilson pass incomplete deep left intended for Jimmy Graham is intercepted by Matthias Farley at IND-45,1.400,-1.930
2,3:34,1,10,IND 45,8,10,Jacoby Brissett pass complete short left to Jack Doyle for 7 yards (tackle by K.J. Wright),1.930,2.330
