Unnamed: 0,IND,SEA
First Downs,16,22
Rush-Yds-TDs,25-98-1,33-194-2
Cmp-Att-Yd-TD-INT,16-29-157-1-1,21-26-295-2-2
Sacked-Yards,3-18,3-12
Net Pass Yards,139,283
Total Yards,237,477
Fumbles-Lost,2-1,0-0
Turnovers,2,2
Penalties-Yards,5-31,6-45
Third Down Conv.,6-14,10-15
Fourth Down Conv.,0-0,1-1
Time of Possession,27:48,32:12
