Quarter,Time,Tm,Detail,IND,SEA
1.0,8:59,Seahawks,Blair Walsh 44 yard field goal,0,3
,3:33,Colts,"Safety, Russell Wilson tackled in end zone by Nate Hairston",2,3
2.0,12:25,Seahawks,Justin Coleman 28 yard interception return (Blair Walsh kick),2,10
,5:25,Colts,Robert Turbin 1 yard rush (pass failed),8,10
,0:25,Colts,Donte Moncrief 18 yard pass from Jacoby Brissett (Adam Vinatieri kick),15,10
3.0,9:23,Seahawks,Russell Wilson 23 yard rush (Doug Baldwin pass from Russell Wilson),15,18
,4:53,Colts,Adam Vinatieri 40 yard field goal,18,18
,2:12,Seahawks,J.D. McKissic 30 yard rush (Blair Walsh kick),18,25
,1:59,Seahawks,Bobby Wagner 21 yard fumble return (Blair Walsh kick),18,32
4.0,11:16,Seahawks,Luke Willson 6 yard pass from Russell Wilson (Blair Walsh kick),18,39
,2:22,Seahawks,J.D. McKissic 27 yard pass from Russell Wilson (Blair Walsh kick),18,46
