Quarter,Time,Tm,Detail,SFO,GNB
1.0,9:25,Packers,AJ Dillon 6 yard rush (Mason Crosby kick),0,7
3.0,8:13,49ers,Robbie Gould 29 yard field goal,3,7
4.0,11:27,Packers,Mason Crosby 33 yard field goal,3,10
,4:41,49ers,Talanoa Hufanga 6 yard blocked punt return (Robbie Gould kick),10,10
,0:00,49ers,Robbie Gould 45 yard field goal,13,10
