Unnamed: 0,SFO,GNB
First Downs,12,14
Rush-Yds-TDs,29-106-0,20-67-1
Cmp-Att-Yd-TD-INT,11-19-131-0-1,20-29-225-0-0
Sacked-Yards,4-25,5-29
Net Pass Yards,106,196
Total Yards,212,263
Fumbles-Lost,0-0,2-1
Turnovers,1,1
Penalties-Yards,5-40,5-25
Third Down Conv.,4-11,5-12
Fourth Down Conv.,0-1,0-0
Time of Possession,29:24,30:36
