Unnamed: 0,PHI,ATL
First Downs,24,17
Rush-Yds-TDs,28-128-1,28-131-1
Cmp-Att-Yd-TD-INT,21-33-312-1-0,16-28-164-0-1
Sacked-Yards,2-10,3-17
Net Pass Yards,302,147
Total Yards,430,278
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,11-90,8-61
Third Down Conv.,2-11,5-13
Fourth Down Conv.,0-0,0-0
Time of Possession,28:45,31:15
