Quarter,Time,Down,ToGo,Location,NWE,ATL,Detail,EPB,EPA
1,5:08,1,10,ATL 12,0,0,Tevin Coleman right end for 9 yards (tackle by Devin McCourty),-0.350,0.420
1,4:25,2,1,ATL 21,0,0,Matt Ryan pass complete short left to Patrick DiMarco for 10 yards (tackle by Patrick Chung and Logan Ryan),0.420,1.000
1,3:45,1,10,ATL 31,0,0,Devonta Freeman right tackle for 2 yards (tackle by Alan Branch and Rob Ninkovich),1.000,0.730
1,3:04,2,8,ATL 33,0,0,Tevin Coleman left end for 5 yards (tackle by Logan Ryan),0.730,0.700
1,2:27,3,3,ATL 38,0,0,Matt Ryan sacked by Jabaal Sheard and Alan Branch for -2 yards,0.700,-0.980
1,1:48,4,5,ATL 36,0,0,"Matthew Bosher punts 55 yards, returned by Julian Edelman for 9 yards (tackle by Eric Weems)",-0.980,-0.040
1,1:36,1,10,NWE 18,0,0,Tom Brady pass complete short left to Julian Edelman for 13 yards (tackle by Robert Alford),0.040,1.000
1,0:58,1,10,NWE 31,0,0,LeGarrette Blount middle for 7 yards (tackle by Robert Alford and Ricardo Allen),1.000,1.410
1,0:24,2,3,NWE 38,0,0,LeGarrette Blount middle for 2 yards (tackle by De'Vondre Campbell),1.410,0.960
Quarter,Time,Down,ToGo,Location,NWE,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,NWE 40,0,0,Tom Brady pass complete deep right to Julian Edelman for 27 yards (tackle by Robert Alford),0.960,3.380
2,14:19,1,10,ATL 33,0,0,"LeGarrette Blount left tackle for 4 yards (tackle by Deion Jones). LeGarrette Blount fumbles (forced by Deion Jones), recovered by Robert Alford at ATL-29 (tackle by Julian Edelman). Penalty on Martellus Bennett: Offensive Holding (Declined)",3.380,-0.870
2,14:08,1,10,ATL 29,0,0,Matt Ryan pass complete short middle to Julio Jones for 19 yards (tackle by Logan Ryan),0.870,2.130
2,13:29,1,10,ATL 48,0,0,Matt Ryan pass complete deep left to Julio Jones for 23 yards,2.130,3.640
2,13:11,1,10,NWE 29,0,0,Devonta Freeman right tackle for 15 yards (tackle by Devin McCourty),3.640,4.650
2,12:46,1,10,NWE 14,0,0,Devonta Freeman left tackle for 9 yards (tackle by Duron Harmon),4.650,5.670
2,12:20,,,,0,0,Timeout #1 by New England Patriots,0.000,-5.670
2,12:20,2,1,NWE 5,0,6,"Devonta Freeman left end for 5 yards, touchdown",5.670,7.000
2,12:15,,,NWE 15,0,7,Matt Bryant kicks extra point good,0.000,0.000
2,12:15,,,ATL 35,0,7,"Matthew Bosher kicks off 69 yards, returned by Dion Lewis for 20 yards (tackle by Sharrod Neasman)",0.000,-0.140
2,12:10,1,10,NWE 16,0,7,Tom Brady pass incomplete deep right intended for Malcolm Mitchell (defended by C.J. Goodwin),-0.140,-0.660
2,12:04,2,10,NWE 16,0,7,Dion Lewis middle for 3 yards (tackle by Ricardo Allen),-0.660,-0.950
2,11:17,3,7,NWE 19,0,7,Tom Brady pass complete short left to James White for 5 yards (tackle by C.J. Goodwin),-0.950,-1.770
2,10:45,4,2,NWE 24,0,7,Ryan Allen punts 38 yards,-1.770,-1.470
2,10:37,1,10,ATL 38,0,7,Matt Ryan pass complete deep right to Taylor Gabriel for 24 yards (tackle by Devin McCourty),1.470,3.050
2,10:11,1,10,NWE 38,0,7,Matt Ryan pass complete deep left to Julio Jones for 18 yards (tackle by Eric Rowe),3.050,4.240
2,9:45,1,10,NWE 20,0,7,Tevin Coleman right tackle for 1 yard (tackle by Alan Branch),4.240,3.820
2,9:00,2,9,NWE 19,0,7,Matt Ryan pass incomplete deep right intended for Austin Hooper (defended by Patrick Chung),3.820,3.100
2,8:55,3,9,NWE 19,0,13,"Matt Ryan pass complete deep left to Austin Hooper for 19 yards, touchdown. Penalty on Patrick Chung: Defensive Pass Interference (Declined)",3.100,7.000
2,8:48,,,NWE 15,0,13,"Penalty on Shea McClellin: Illegal Formation, 5 yards (no play)",0.000,0.000
2,8:48,,,NWE 10,0,14,Matt Bryant kicks extra point good,0.000,0.000
2,8:48,,,ATL 35,0,14,"Matthew Bosher kicks off 65 yards, touchback",0.000,0.610
2,8:48,1,10,NWE 25,0,14,Tom Brady pass complete short middle to Martellus Bennett for 12 yards (tackle by Jalen Collins and Keanu Neal),0.610,1.400
2,8:12,1,10,NWE 37,0,14,Tom Brady pass incomplete short middle intended for Julian Edelman,1.400,0.860
2,8:07,2,10,NWE 37,0,14,Tom Brady pass incomplete deep middle intended for Danny Amendola,0.860,0.170
2,8:02,3,10,NWE 37,0,14,"Tom Brady pass complete short right to James White for 8 yards (tackle by Deion Jones and De'Vondre Campbell). Penalty on Robert Alford: Defensive Holding, 5 yards (no play)",0.170,1.730
2,7:34,1,10,NWE 42,0,14,LeGarrette Blount left tackle for no gain (tackle by Joe Vellano and Jonathan Babineaux),1.730,1.190
2,6:53,2,10,NWE 42,0,14,James White right end for 7 yards (tackle by Robert Alford),1.190,1.420
2,6:10,3,3,NWE 49,0,14,"Tom Brady pass incomplete deep right intended for Julian Edelman. Penalty on Brian Poole: Defensive Holding, 5 yards (no play)",1.420,2.520
2,6:01,1,10,ATL 46,0,14,LeGarrette Blount right end for 1 yard (tackle by Tyson Jackson),2.520,2.110
2,5:20,2,9,ATL 45,0,14,Tom Brady pass incomplete short right intended for Dion Lewis,2.110,1.420
2,5:16,,,,0,14,Timeout #1 by Atlanta Falcons,0.000,-1.420
2,5:16,3,9,ATL 45,0,14,"Tom Brady pass incomplete short middle intended for Julian Edelman. Penalty on Brian Poole: Defensive Holding, 5 yards (no play)",1.420,2.920
2,5:12,1,10,ATL 40,0,14,LeGarrette Blount middle for no gain (tackle by Ra'Shede Hageman),2.920,2.370
2,4:36,2,10,ATL 40,0,14,Tom Brady pass complete short middle to Martellus Bennett for 13 yards (tackle by Ayodeji Olatoye),2.370,3.780
2,3:59,1,10,ATL 27,0,14,Dion Lewis right guard for 4 yards (tackle by De'Vondre Campbell),3.780,3.770
2,3:23,2,6,ATL 23,0,14,Dion Lewis left guard for no gain (tackle by Grady Jarrett),3.770,3.070
2,2:36,3,6,ATL 23,0,20,"Tom Brady pass incomplete short left intended for Danny Amendola is intercepted by Robert Alford at ATL-18 and returned for 82 yards, touchdown",3.070,-7.000
2,,,,NWE 15,0,21,Matt Bryant kicks extra point good,,
2,2:21,,,ATL 35,0,21,"Matthew Bosher kicks off 65 yards, touchback",0.000,0.610
2,2:21,1,10,NWE 25,0,21,James White right guard for 3 yards (tackle by Ra'Shede Hageman and Robert Alford),0.610,0.470
2,2:00,2,7,NWE 28,0,21,Tom Brady pass complete short left to Martellus Bennett for 15 yards (tackle by Keanu Neal and Ricardo Allen),0.470,1.800
2,1:43,,,,0,21,Timeout #2 by Atlanta Falcons,0.000,-1.800
2,1:43,1,10,NWE 43,0,21,Tom Brady pass incomplete deep right intended for Julian Edelman,1.800,1.250
2,1:37,2,10,NWE 43,0,21,Tom Brady pass complete short right to James White for 28 yards (tackle by Ricardo Allen),1.250,3.640
2,0:59,1,10,ATL 29,0,21,Tom Brady pass complete short right to Chris Hogan for 8 yards (tackle by Keanu Neal),3.640,4.180
2,0:33,2,2,ATL 21,0,21,Tom Brady pass incomplete short right intended for Chris Hogan,4.180,3.470
2,0:30,3,2,ATL 21,0,21,Tom Brady pass complete short middle to James White for 6 yards (tackle by Deion Jones),3.470,4.580
