#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,NWE 25,3,1:23,9,Punt
2,1,10:28,NWE 10,9,5:20,41,Punt
3,1,1:36,NWE 18,5,2:28,53,Fumble
4,2,12:15,NWE 16,3,1:38,8,Punt
5,2,8:48,NWE 25,12,6:27,52,Interception
6,2,2:21,NWE 25,11,2:19,52,Field Goal
7,3,13:07,NWE 47,3,0:22,-2,Punt
8,3,8:31,NWE 25,13,6:25,75,Touchdown
9,4,14:51,NWE 13,12,5:07,72,Field Goal
10,4,8:24,ATL 25,5,2:28,25,Touchdown
11,4,3:30,NWE 9,10,2:33,91,Touchdown
12,4,0:03,NWE 35,1,0:03,13,End of Half
13,5,15:00,NWE 25,8,3:58,75,Touchdown
