Quarter,Time,Tm,Detail,NWE,ATL
2,12:15,Falcons,Devonta Freeman 5 yard rush (Matt Bryant kick),0,7
,8:48,Falcons,Austin Hooper 19 yard pass from Matt Ryan (Matt Bryant kick),0,14
,2:21,Falcons,Robert Alford 82 yard interception return (Matt Bryant kick),0,21
,0:02,Patriots,Stephen Gostkowski 41 yard field goal,3,21
3,8:31,Falcons,Tevin Coleman 6 yard pass from Matt Ryan (Matt Bryant kick),3,28
,2:06,Patriots,James White 5 yard pass from Tom Brady (Stephen Gostkowski kick failed),9,28
4,9:44,Patriots,Stephen Gostkowski 33 yard field goal,12,28
,5:56,Patriots,Danny Amendola 6 yard pass from Tom Brady (James White run),20,28
,0:57,Patriots,James White 1 yard rush (Danny Amendola pass from Tom Brady),28,28
OT,11:02,Patriots,James White 2 yard rush,34,28
