Unnamed: 0,NWE,ATL
First Downs,37,17
Rush-Yds-TDs,25-104-2,18-104-1
Cmp-Att-Yd-TD-INT,43-63-466-2-1,17-23-284-2-0
Sacked-Yards,5-24,5-44
Net Pass Yards,442,240
Total Yards,546,344
Fumbles-Lost,1-1,1-1
Turnovers,2,1
Penalties-Yards,4-23,9-65
Third Down Conv.,7-14,1-8
Fourth Down Conv.,1-1,0-0
Time of Possession,40:31,23:27
