Quarter,Time,Down,ToGo,Location,DEN,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Brandon McManus kicks off 74 yards, returned by Roy Helu for 27 yards (tackle by Shaquil Barrett)",0.000,-0.040
1,14:55,1,10,OAK 18,0,0,Derek Carr pass incomplete short middle intended for Michael Crabtree,0.040,-0.490
1,14:52,2,10,OAK 18,0,0,Latavius Murray middle for 11 yards (tackle by Malik Jackson),-0.490,0.870
1,14:11,1,10,OAK 29,0,0,Derek Carr pass complete short left to Amari Cooper for 13 yards (tackle by Danny Trevathan and Bradley Roby),0.870,1.730
1,13:34,1,10,OAK 42,0,0,Latavius Murray right tackle for 1 yard (tackle by Derek Wolfe),1.730,1.320
1,13:01,2,9,OAK 43,0,0,"Latavius Murray right tackle for 2 yards (tackle by Danny Trevathan). Penalty on Austin Howard: Offensive Holding, 10 yards (no play)",1.320,-0.030
1,12:33,2,19,OAK 33,0,0,Derek Carr pass complete short middle to Latavius Murray for 4 yards (tackle by DeMarcus Ware),-0.030,-0.160
1,11:55,3,15,OAK 37,0,0,Derek Carr pass complete short right to Latavius Murray for no gain,-0.160,-0.910
1,11:17,4,15,OAK 37,0,0,Marquette King punts 51 yards,-0.910,0.350
1,11:06,1,10,DEN 12,0,0,Peyton Manning pass incomplete short middle intended for Owen Daniels,-0.350,-0.780
1,11:03,2,10,DEN 12,0,0,Peyton Manning pass complete short right to Emmanuel Sanders for -2 yards (tackle by Khalil Mack),-0.780,-1.650
1,10:22,3,12,DEN 10,0,0,C.J. Anderson middle for 10 yards (tackle by D.J. Hayden),-1.650,-2.030
1,9:45,4,2,DEN 20,0,0,"Britton Colquitt punts 44 yards, out of bounds",-2.030,-1.330
1,9:37,1,10,OAK 36,0,0,Latavius Murray middle for no gain (tackle by Danny Trevathan),1.330,0.790
1,9:02,2,10,OAK 36,0,0,Latavius Murray middle for 6 yards (tackle by Brandon Marshall and Darian Stewart),0.790,0.890
1,8:33,3,4,OAK 42,0,0,"Penalty on T.J. Ward: Neutral Zone Infraction, 5 yards (no play)",0.890,2.060
1,8:13,1,10,OAK 47,0,0,Jamize Olawale left tackle for 4 yards (tackle by Shaquil Barrett and Darian Stewart),2.060,2.060
1,7:43,2,6,DEN 49,0,0,Derek Carr pass incomplete deep left intended for Roy Helu (defended by Danny Trevathan),2.060,1.360
1,7:36,3,6,DEN 49,0,0,Derek Carr pass complete deep middle to Michael Crabtree for 25 yards (tackle by Bradley Roby),1.360,3.970
1,6:53,1,10,DEN 24,0,0,Latavius Murray right guard for -1 yards (tackle by Todd Davis),3.970,3.300
1,6:16,2,11,DEN 25,0,0,Derek Carr pass complete short left to Marcel Reece for 9 yards (tackle by Chris Harris),3.300,3.950
1,5:34,3,2,DEN 16,0,0,Jamize Olawale left guard for 2 yards (tackle by Todd Davis and DeMarcus Ware),3.950,4.650
1,5:04,1,10,DEN 14,0,0,--,4.650,4.260
1,4:46,1,15,DEN 19,0,0,Latavius Murray left tackle for 2 yards (tackle by Danny Trevathan),4.260,3.590
1,4:09,2,13,DEN 17,0,0,Latavius Murray right guard for 2 yards (tackle by Derek Wolfe and Aqib Talib),3.590,3.060
1,3:30,3,11,DEN 15,0,0,Derek Carr sacked by Malik Jackson for -5 yards,3.060,2.120
1,2:49,4,16,DEN 20,0,0,"Sebastian Janikowski 38 yard field goal no good, blocked by Sylvester Williams",2.120,-0.810
1,2:43,1,10,DEN 28,0,0,Peyton Manning pass complete deep right to Emmanuel Sanders for 45 yards (tackle by D.J. Hayden),0.810,3.780
1,1:55,1,10,OAK 27,0,0,Ronnie Hillman left end for 2 yards (tackle by David Amerson),3.780,3.500
1,1:17,2,8,OAK 25,0,0,Peyton Manning pass incomplete short middle intended for Owen Daniels,3.500,2.810
1,1:13,3,8,OAK 25,0,0,Peyton Manning pass complete short left to Jordan Norwood for 11 yards (tackle by T.J. Carrie),2.810,4.650
1,0:37,1,10,OAK 14,0,0,C.J. Anderson left tackle for 2 yards (tackle by Khalil Mack),4.650,4.330
Quarter,Time,Down,ToGo,Location,DEN,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,OAK 12,0,0,Peyton Manning pass complete short left to Emmanuel Sanders for 5 yards (tackle by Neiko Thorpe),4.330,4.500
2,14:26,3,3,OAK 7,0,0,Peyton Manning pass incomplete short middle intended for Owen Daniels (defended by Justin Tuck),4.500,2.990
2,14:22,4,3,OAK 7,3,0,Brandon McManus 25 yard field goal good,2.990,3.000
2,14:22,,,DEN 35,3,0,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.280
2,14:19,1,10,OAK 20,3,0,Derek Carr pass complete short left to Latavius Murray for 14 yards (tackle by Brandon Marshall),0.280,1.200
2,13:48,1,10,OAK 34,3,0,Latavius Murray left guard for 3 yards (tackle by Malik Jackson and Danny Trevathan),1.200,1.060
2,13:10,2,7,OAK 37,3,0,Latavius Murray middle for 4 yards (tackle by Danny Trevathan and DeMarcus Ware),1.060,0.890
