Quarter,Time,Tm,Detail,DEN,OAK
2.0,14:19,Broncos,Brandon McManus 25 yard field goal,3,0
,9:37,Raiders,Marcel Reece 3 yard pass from Derek Carr (Sebastian Janikowski kick),3,7
3.0,11:25,Broncos,Brandon McManus 20 yard field goal,6,7
,6:29,Broncos,Brandon McManus 52 yard field goal,9,7
4.0,6:53,Broncos,Chris Harris Jr. 74 yard interception return (Brandon McManus kick),16,7
,1:40,Raiders,Sebastian Janikowski 50 yard field goal,16,10
