Unnamed: 0,DEN,OAK
First Downs,15,20
Rush-Yds-TDs,18-43-0,25-65-0
Cmp-Att-Yd-TD-INT,22-35-266-0-2,26-39-249-1-1
Sacked-Yards,2-12,4-26
Net Pass Yards,254,223
Total Yards,297,288
Fumbles-Lost,0-0,3-2
Turnovers,2,3
Penalties-Yards,6-103,6-41
Third Down Conv.,2-13,7-16
Fourth Down Conv.,0-0,1-2
Time of Possession,25:51,34:09
