Unnamed: 0,BUF,NYJ
First Downs,6,17
Rush-Yds-TDs,18-37-0,50-276-2
Cmp-Att-Yd-TD-INT,12-26-130-0-4,8-15-119-2-1
Sacked-Yards,3-5,1-7
Net Pass Yards,125,112
Total Yards,162,388
Fumbles-Lost,3-2,0-0
Turnovers,6,1
Penalties-Yards,3-15,3-25
Third Down Conv.,4-12,8-16
Fourth Down Conv.,0-0,0-0
Time of Possession,24:25,35:35
