Quarter,Time,Tm,Detail,NWE,NYJ
1,9:43,Jets,Jeremy Kerley 12 yard pass from Geno Smith (Nick Folk kick),0,7
,5:58,Patriots,Brandon Bolden 1 yard rush (Stephen Gostkowski kick),7,7
,1:32,Patriots,Logan Ryan 79 yard interception return (Stephen Gostkowski kick),14,7
2,11:11,Jets,Nick Folk 37 yard field goal,14,10
,5:15,Patriots,Stevan Ridley 17 yard rush (Stephen Gostkowski kick),21,10
3,14:27,Jets,Antonio Allen 23 yard interception return (Nick Folk kick),21,17
,4:33,Jets,Geno Smith 8 yard rush (Nick Folk kick),21,24
,1:30,Jets,Nick Folk 37 yard field goal,21,27
4,12:58,Patriots,Stephen Gostkowski 39 yard field goal,24,27
,0:16,Patriots,Stephen Gostkowski 44 yard field goal,27,27
OT,5:07,Jets,Nick Folk 42 yard field goal,27,30
