Unnamed: 0,CAR,SEA
First Downs,11,27
Rush-Yds-TDs,12-36-0,51-190-2
Cmp-Att-Yd-TD-INT,15-35-196-1-3,20-28-219-2-0
Sacked-Yards,2-20,2-16
Net Pass Yards,176,203
Total Yards,212,393
Fumbles-Lost,1-1,0-0
Turnovers,4,0
Penalties-Yards,5-57,7-63
Third Down Conv.,1-9,8-18
Fourth Down Conv.,0-0,0-1
Time of Possession,18:09,41:51
