Quarter,Time,Tm,Detail,IND,TEN
1.0,9:23,Titans,Chris Brown 20 yard rush (Gary Anderson kick),0,7
,4:30,Colts,Mike Vanderjagt 28 yard field goal,3,7
2.0,7:10,Titans,Gary Anderson 39 yard field goal,3,10
3.0,11:18,Colts,Reggie Wayne 5 yard pass from Peyton Manning (Mike Vanderjagt kick),10,10
,7:36,Titans,Steve McNair 1 yard rush (Gary Anderson kick),10,17
4.0,14:56,Colts,Marcus Pollard 1 yard pass from Peyton Manning (Mike Vanderjagt kick),17,17
,7:31,Colts,Edgerrin James 4 yard rush (Mike Vanderjagt kick),24,17
,2:29,Colts,Edgerrin James 30 yard rush (Mike Vanderjagt kick),31,17
