Quarter,Time,Down,ToGo,Location,IND,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,IND 30,0,0,"Mike Vanderjagt kicks off 64 yards, returned by Michael Waddell for 16 yards (tackle by Cato June)",0.000,0.410
1,14:54,1,10,TEN 22,0,0,Chris Brown left end for 7 yards (tackle by Cory Bird),0.410,0.810
1,14:15,2,3,TEN 29,0,0,Steve McNair pass complete to Erron Kinney for 8 yards (tackle by Rob Morris),0.810,1.400
1,13:38,1,10,TEN 37,0,0,Chris Brown up the middle for 4 yards (tackle by Raheem Brock),1.400,1.400
1,12:59,2,6,TEN 41,0,0,Steve McNair pass complete to Drew Bennett for 19 yards (tackle by Nick Harper),1.400,2.920
1,12:20,1,10,IND 40,0,0,Chris Brown left tackle for 4 yards (tackle by Josh Thomas and Cato June),2.920,2.910
1,11:40,2,6,IND 36,0,0,Chris Brown left tackle for 5 yards (tackle by Cory Bird),2.910,2.870
1,10:55,3,1,IND 31,0,0,Robert Holcombe up the middle for 2 yards (tackle by David Thornton),2.870,3.640
1,10:07,,,,0,0,Timeout #1 by Tennessee Titans,0.000,3.640
1,10:07,1,10,IND 29,0,0,Steve McNair pass complete to Ben Troupe for 9 yards (tackle by Rob Morris),3.640,4.320
1,9:31,2,1,IND 20,0,6,"Chris Brown right guard for 20 yards, touchdown",4.320,7.000
1,,,,IND 2,0,7,Gary Anderson kicks extra point good,0.000,0.000
1,,,,TEN 30,0,7,"Craig Hentrich kicks off 46 yards, fair catch by Tupe Peko",0.000,0.540
1,9:23,1,10,IND 24,0,7,Peyton Manning right end for 6 yards (tackle by Samari Rolle),0.540,0.810
1,8:50,2,4,IND 30,0,7,"Edgerrin James right tackle for 3 yards (tackle by Andre Woolfolk and Tank Williams). Penalty on Andre Woolfolk: Face Mask (15 Yards), 15 yards",0.810,2.130
1,8:28,1,10,IND 48,0,7,Edgerrin James right end for 6 yards (tackle by Samari Rolle and Tank Williams),2.130,2.390
1,8:03,2,4,TEN 46,0,7,Edgerrin James right end for 2 yards (tackle by Keith Bulluck),2.390,1.950
1,7:41,3,2,TEN 44,0,7,"Edgerrin James up the middle for 1 yard (tackle by Rien Long). Penalty on Carlos Hall: Illegal Use of Hands, 5 yards",1.950,3.050
1,7:20,1,10,TEN 38,0,7,Peyton Manning pass complete to Brandon Stokley for 14 yards (tackle by Andre Woolfolk),3.050,3.970
1,6:51,1,10,TEN 24,0,7,Edgerrin James right guard for 4 yards (tackle by Juqua Parker and Keith Bulluck),3.970,3.970
1,6:17,2,6,TEN 20,0,7,Edgerrin James right end for 11 yards (tackle by Samari Rolle),3.970,5.140
1,5:33,1,9,TEN 9,0,7,"Peyton Manning pass incomplete. Penalty on Albert Haynesworth: Roughing the Passer, 5 yards (no play)",5.140,6.280
1,5:29,1,4,TEN 4,0,7,Edgerrin James left tackle for -6 yards (tackle by Carlos Hall),6.280,4.190
1,4:43,2,10,TEN 10,0,7,Peyton Manning pass incomplete intended for Dominic Rhodes,4.190,3.130
1,4:39,3,10,TEN 10,0,7,Peyton Manning pass incomplete intended for Marvin Harrison (defended by Samari Rolle),3.130,2.760
1,4:34,4,10,TEN 10,3,7,Mike Vanderjagt 28 yard field goal good,2.760,3.000
1,,,,IND 30,3,7,"Mike Vanderjagt kicks off 58 yards, returned by Michael Waddell for 11 yards (tackle by Anthony Floyd)",0.000,0.480
1,4:24,1,10,TEN 23,3,7,Steve McNair pass incomplete intended for Chris Brown,0.480,-0.070
1,4:20,2,10,TEN 23,3,7,Chris Brown left end for 16 yards (tackle by Cory Bird and Rob Morris),-0.070,1.530
1,3:55,1,10,TEN 39,3,7,Steve McNair pass complete to Drew Bennett for 14 yards,1.530,2.460
1,3:24,1,10,IND 47,3,7,Chris Brown up the middle for 3 yards (tackle by Josh Williams and David Thornton),2.460,2.320
1,2:46,2,7,IND 44,3,7,Steve McNair pass complete to Derrick Mason for 6 yards (tackle by David Thornton),2.320,2.410
1,2:00,3,1,IND 38,3,7,Steve McNair up the middle for 1 yard (tackle by Montae Reagor),2.410,3.120
1,1:13,1,10,IND 37,3,7,Steve McNair pass incomplete intended for Chris Brown,3.120,2.570
1,1:07,2,10,IND 37,3,7,Chris Brown left tackle for 12 yards (tackle by David Thornton),2.570,3.910
1,0:26,1,10,IND 25,3,7,Steve McNair pass complete to Derrick Mason for 5 yards (tackle by David Thornton),3.910,4.040
Quarter,Time,Down,ToGo,Location,IND,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,IND 20,3,7,Chris Brown right tackle for 7 yards (tackle by Montae Reagor and Cato June),4.040,4.710
2,14:19,1,10,IND 13,3,7,Chris Brown left tackle for 3 yards (tackle by Montae Reagor),4.710,4.580
2,13:43,2,7,IND 10,3,7,Derrick Mason for -3 yards (tackle by Cato June),4.580,3.120
2,13:10,3,10,IND 13,3,7,Steve McNair pass complete to Drew Bennett for 9 yards (tackle by Jason David),3.120,3.040
2,12:45,4,1,IND 4,3,7,Chris Brown left guard for no gain (tackle by Rob Morris and David Thornton),3.040,0.380
2,12:39,1,10,IND 4,3,7,Peyton Manning pass complete to Marvin Harrison for 8 yards (tackle by Samari Rolle),-0.380,-0.200
2,12:10,2,2,IND 12,3,7,Edgerrin James up the middle for -1 yards (tackle by Antwan Odom and Kevin Carter),-0.200,-0.600
2,11:30,3,3,IND 11,3,7,Edgerrin James up the middle for -1 yards (tackle by Albert Haynesworth and Tank Williams). Penalty on Ryan Diem: Illegal Formation (Declined),-0.600,-2.490
2,11:08,4,4,IND 10,3,7,"Hunter Smith punts 47 yards, returned by Derrick Mason for 4 yards (tackle by Anthony Floyd)",-2.490,-2.060
2,10:57,1,10,TEN 47,3,7,Chris Brown right tackle for 4 yards (tackle by David Thornton and Nick Harper),2.060,2.060
2,10:22,2,6,IND 49,3,7,Steve McNair pass complete to Drew Bennett for 14 yards (tackle by Nick Harper),2.060,3.250
2,9:41,1,10,IND 35,3,7,Chris Brown right tackle for 1 yard (tackle by Cory Bird and Rob Morris),3.250,2.840
2,8:55,2,9,IND 34,3,7,Steve McNair pass incomplete intended for Chris Brown,2.840,2.150
2,8:50,3,9,IND 34,3,7,Steve McNair pass complete to Derrick Mason for 9 yards (tackle by Jason David),2.150,3.910
2,8:12,1,10,IND 25,3,7,Steve McNair pass incomplete intended for Derrick Mason,3.910,3.360
2,8:07,2,10,IND 25,3,7,Chris Brown right tackle for 4 yards (tackle by Montae Reagor),3.360,3.200
2,7:21,3,6,IND 21,3,7,Steve McNair pass incomplete intended for Drew Bennett,3.200,2.080
2,7:15,4,6,IND 21,3,10,Gary Anderson 39 yard field goal good,2.080,3.000
2,,,,TEN 30,3,10,"Craig Hentrich kicks off 57 yards, returned by Dominic Rhodes for 18 yards (tackle by Scott McGarrahan)",0.000,1.000
2,7:05,1,10,IND 31,3,10,Peyton Manning pass complete to Reggie Wayne for 23 yards (tackle by Andre Dyson),1.000,2.520
2,6:30,1,10,TEN 46,3,10,Peyton Manning pass complete to Marvin Harrison for 2 yards (tackle by Rocky Boiman),2.520,2.250
2,6:00,2,8,TEN 44,3,10,Edgerrin James left guard for 5 yards (tackle by Keith Bulluck and Lance Schulters),2.250,2.210
2,5:25,3,3,TEN 39,3,10,Peyton Manning pass incomplete intended for Reggie Wayne (defended by Andre Dyson). Penalty on Marcus Pollard: Offensive Pass Interference (Declined),2.210,0.660
2,5:18,4,3,TEN 39,3,10,Hunter Smith punts 38 yards,0.660,0.380
2,5:10,1,10,TEN 1,3,10,Chris Brown left tackle for 2 yards (tackle by Rob Morris and Donald Strickland),-0.380,-0.630
2,4:29,2,8,TEN 3,3,10,Chris Brown left end for -2 yards (tackle by Montae Reagor). Penalty on Justin Hartwig: Offensive Holding (Declined),-0.630,-1.420
2,4:07,3,10,TEN 1,3,10,Steve McNair pass complete to Drew Bennett for 10 yards (tackle by Nick Harper),-1.420,-0.370
2,3:48,1,10,TEN 11,3,10,Steve McNair pass complete to Chris Brown for 8 yards (tackle by Rob Morris),-0.370,0.170
2,3:08,2,2,TEN 19,3,10,Chris Brown left tackle for 1 yard (tackle by Rob Morris),0.170,-0.370
2,2:21,3,1,TEN 20,3,10,Chris Brown right tackle for no gain (tackle by Josh Williams and Rob Morris),-0.370,-2.030
2,2:00,4,1,TEN 20,3,10,"Craig Hentrich punts 47 yards, returned by Brad Pyatt for 3 yards (tackle by Darrell Hill)",-2.030,-1.330
2,1:50,1,10,IND 36,3,10,Peyton Manning pass complete to Marvin Harrison for 14 yards (tackle by Samari Rolle),1.330,2.260
2,1:44,1,10,TEN 50,3,10,Peyton Manning pass complete to Reggie Wayne for 9 yards,2.260,2.930
2,1:38,2,1,TEN 41,3,10,Peyton Manning pass complete to Reggie Wayne for 9 yards (tackle by Andre Dyson),2.930,3.450
2,1:17,1,10,TEN 32,3,10,"Peyton Manning pass complete to Marvin Harrison for 5 yards (tackle by Albert Haynesworth). Marvin Harrison fumbles (forced by Albert Haynesworth), recovered by Samari Rolle at TEN-27 and returned for 5 yards (tackle by Jeff Saturday)",3.450,-1.070
