Unnamed: 0,IND,TEN
First Downs,27,25
Rush-Yds-TDs,23-129-2,30-153-2
Cmp-Att-Yd-TD-INT,24-33-254-2-0,26-40-277-0-1
Sacked-Yards,1-10,3-41
Net Pass Yards,244,236
Total Yards,373,389
Fumbles-Lost,1-1,1-1
Turnovers,1,2
Penalties-Yards,2-21,8-71
Third Down Conv.,4-9,6-13
Fourth Down Conv.,0-0,0-3
Time of Possession,25:05,34:55
