Unnamed: 0,NYG,DAL
First Downs,18,21
Rush-Yds-TDs,39-155-1,21-69-1
Cmp-Att-Yd-TD-INT,12-26-189-2-1,21-37-338-2-4
Sacked-Yards,2-16,6-28
Net Pass Yards,173,310
Total Yards,328,379
Fumbles-Lost,1-1,0-0
Turnovers,2,4
Penalties-Yards,3-24,1-5
Third Down Conv.,9-16,7-11
Fourth Down Conv.,1-1,0-1
Time of Possession,32:29,27:31
