Unnamed: 0,TEN,IND
First Downs,16,26
Rush-Yds-TDs,27-91-0,28-102-2
Cmp-Att-Yd-TD-INT,21-29-203-1-2,24-32-295-3-0
Sacked-Yards,5-27,0-0
Net Pass Yards,176,295
Total Yards,267,397
Fumbles-Lost,1-0,2-0
Turnovers,2,0
Penalties-Yards,8-112,7-60
Third Down Conv.,6-14,5-10
Fourth Down Conv.,0-0,0-0
Time of Possession,28:44,31:16
