Quarter,Time,Tm,Detail,DAL,BUF
1.0,9:41,Cowboys,Dan Bailey 46 yard field goal,3,0
,0:48,Bills,Karlos Williams 1 yard rush (Dan Carpenter kick failed),3,6
2.0,5:25,Cowboys,Dan Bailey 22 yard field goal,6,6
3.0,6:17,Bills,Dan Carpenter 32 yard field goal,6,9
4.0,2:25,Bills,Mike Gillislee 50 yard rush (Dan Carpenter kick),6,16
