Quarter,Time,Tm,Detail,ATL,SFO
1.0,7:12,Falcons,Younghoe Koo 48 yard field goal,3,0
,1:21,49ers,Robbie Gould 30 yard field goal,3,3
2.0,9:14,49ers,Kyle Juszczyk 6 yard rush (Robbie Gould kick),3,10
,4:00,Falcons,Russell Gage 20 yard pass from Matt Ryan (Younghoe Koo kick),10,10
,0:33,49ers,Deebo Samuel 10 yard rush (Robbie Gould kick),10,17
3.0,11:11,49ers,Jeff Wilson 5 yard rush (Robbie Gould kick),10,24
,6:28,Falcons,Younghoe Koo 22 yard field goal,13,24
,1:17,49ers,Jauan Jennings 4 yard pass from Jimmy Garoppolo (Robbie Gould kick),13,31
