Unnamed: 0,ATL,SFO
First Downs,13,23
Rush-Yds-TDs,23-62-0,32-162-3
Cmp-Att-Yd-TD-INT,19-32-236-1-0,18-24-235-1-0
Sacked-Yards,3-23,0-0
Net Pass Yards,213,235
Total Yards,275,397
Fumbles-Lost,1-1,2-1
Turnovers,1,1
Penalties-Yards,4-29,5-35
Third Down Conv.,5-13,6-11
Fourth Down Conv.,0-3,0-0
Time of Possession,29:33,30:27
