Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Cordarrelle Patterson,ATL,11,18,0,,17,1.5,1,0.1,0,
Mike Davis,ATL,6,21,0,1,9,1.5,12,2.0,3,2.0
Matt Ryan,ATL,5,20,0,2,19,3.8,1,0.2,0,
Qadree Ollison,ATL,1,3,0,,2,2.0,1,1.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Jeff Wilson,SFO,21,110,1,6,79,3.8,31,1.5,1,21.0
Deebo Samuel,SFO,6,29,1,2,19,3.2,10,1.7,2,3.0
Jimmy Garoppolo,SFO,3,4,0,1,2,0.7,2,0.7,0,
Jamycal Hasty,SFO,1,13,0,1,9,9.0,4,4.0,1,1.0
Kyle Juszczyk,SFO,1,6,1,1,6,6.0,0,0.0,0,
