Quarter,Time,Down,ToGo,Location,DEN,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Brandon McManus kicks off 63 yards, returned by Richie James for no gain (tackle by Tim Patrick)",0.000,0.410
1,14:56,1,10,SFO 22,0,0,Nick Mullens pass complete short left to George Kittle for 5 yards (tackle by Todd Davis),0.410,0.540
1,14:32,2,5,SFO 27,0,0,Nick Mullens pass complete short left to Kendrick Bourne for 10 yards (tackle by Bradley Roby),0.540,1.400
1,13:57,1,10,SFO 37,0,0,Jeff Wilson right tackle for 1 yard (tackle by Derek Wolfe),1.400,0.990
1,13:22,2,9,SFO 38,0,0,Jeff Wilson left tackle for 9 yards (tackle by Todd Davis),0.990,2.060
1,12:43,1,10,SFO 47,0,0,Nick Mullens pass complete deep right to George Kittle for 31 yards (tackle by Darian Stewart),2.060,4.110
1,12:02,1,10,DEN 22,0,0,"Penalty on Laken Tomlinson: False Start, 5 yards (no play)",4.110,3.780
1,11:41,1,15,DEN 27,0,0,Jeff Wilson up the middle for 1 yard (tackle by Todd Davis and Shelby Harris),3.780,3.020
1,11:05,2,14,DEN 26,0,0,Nick Mullens pass complete short left to Kyle Juszczyk for 4 yards (tackle by Shane Ray),3.020,2.870
1,10:32,3,10,DEN 22,0,0,Nick Mullens pass incomplete short right intended for Kyle Juszczyk,2.870,1.990
1,10:28,4,10,DEN 22,0,3,Robbie Gould 40 yard field goal good,1.990,3.000
1,10:23,,,SFO 35,0,3,"Bradley Pinion kicks off 63 yards, returned by Brendan Langley for no gain (tackle by Tarvarius Moore)",0.000,0.280
1,10:19,1,10,DEN 20,0,3,Case Keenum pass incomplete deep left intended for Courtland Sutton,0.280,-0.270
1,10:13,2,10,DEN 20,0,3,Phillip Lindsay up the middle for 1 yard (tackle by D.J. Jones and Elijah Lee),-0.270,-0.820
1,9:32,3,9,DEN 21,0,3,Case Keenum pass incomplete short left intended for Phillip Lindsay,-0.820,-1.960
1,9:27,4,9,DEN 21,0,3,"Colby Wadman punts 55 yards, muffed catch by Richie James, recovered by Richie James at SF-24, returned by Richie James for no gain (tackle by Dymonte Thomas). Penalty on Elijah Lee: Offensive Holding, 10 yards",-1.960,0.280
1,9:17,1,10,SFO 14,0,3,Nick Mullens pass incomplete short left intended for Jeff Wilson,-0.280,-0.750
1,9:12,2,10,SFO 14,0,3,"Nick Mullens pass incomplete short middle intended for Dante Pettis. Penalty on Bradley Chubb: Defensive Holding, 5 yards (no play)",-0.750,0.150
1,9:08,1,10,SFO 19,0,3,Jeff Wilson up the middle for 4 yards (tackle by Justin Simmons),0.150,0.210
1,8:27,2,6,SFO 23,0,3,Jeff Wilson left guard for 11 yards (tackle by Bradley Roby),0.210,1.200
1,7:46,1,10,SFO 34,0,3,"Nick Mullens pass incomplete short left intended for George Kittle. Penalty on Justin Simmons: Defensive Holding, 5 yards (no play)",1.200,1.530
1,7:41,1,10,SFO 39,0,3,Jeff Wilson right tackle for 8 yards (tackle by Josey Jewell and Zach Kerr),1.530,2.070
1,7:06,2,2,SFO 47,0,3,Nick Mullens pass incomplete short middle intended for George Kittle (defended by Domata Peko),2.070,1.360
1,7:01,3,2,SFO 47,0,3,Nick Mullens pass complete short right to George Kittle for 6 yards (tackle by Will Parks),1.360,2.460
1,6:23,1,10,DEN 47,0,3,Alfred Morris up the middle for 4 yards (tackle by Derek Wolfe and Todd Davis),2.460,2.450
1,5:45,2,6,DEN 43,0,3,Nick Mullens pass complete short left to Alfred Morris for 3 yards (tackle by Josey Jewell and Todd Davis),2.450,2.150
1,5:02,3,3,DEN 40,0,3,Nick Mullens pass incomplete short right intended for Kendrick Bourne (defended by Isaac Yiadom),2.150,0.590
1,4:57,4,3,DEN 40,0,3,"Bradley Pinion punts 40 yards, touchback.",0.590,-0.280
1,4:50,1,10,DEN 20,0,3,Case Keenum pass complete short right to DaeSean Hamilton for 7 yards (tackle by Richard Sherman),0.280,0.680
1,4:18,2,3,DEN 27,0,3,Phillip Lindsay left end for 4 yards (tackle by D.J. Reed),0.680,1.000
1,3:38,1,10,DEN 31,0,3,Case Keenum pass complete short left to Phillip Lindsay for 7 yards (tackle by Elijah Lee),1.000,1.410
1,3:05,2,3,DEN 38,0,3,Royce Freeman left tackle for 1 yard (tackle by Marcell Harris and D.J. Jones),1.410,0.830
1,2:24,3,2,DEN 39,0,3,Case Keenum pass incomplete short right intended for Tim Patrick,0.830,-0.780
1,2:19,4,2,DEN 39,0,3,"Colby Wadman punts 50 yards, returned by Trent Taylor for 8 yards",-0.780,-0.150
1,2:10,1,10,SFO 19,0,3,Nick Mullens pass complete short middle to Marquise Goodwin for 13 yards (tackle by Darian Stewart),0.150,1.070
1,1:28,1,10,SFO 32,0,3,Jeff Wilson right tackle for -1 yards (tackle by Shelby Harris),1.070,0.390
1,0:44,2,11,SFO 31,0,3,"Penalty on Von Miller: Neutral Zone Infraction, 5 yards (no play)",0.390,1.070
1,0:28,2,6,SFO 36,0,3,Nick Mullens pass complete short middle to George Kittle for 52 yards (tackle by Justin Simmons),1.070,4.780
Quarter,Time,Down,ToGo,Location,DEN,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DEN 12,0,3,Jeff Wilson left guard for 5 yards (tackle by Derek Wolfe),4.780,5.020
2,14:22,2,5,DEN 7,0,3,Jeff Wilson right tackle for 3 yards (tackle by Zach Kerr),5.020,4.840
2,13:37,3,2,DEN 4,0,3,Nick Mullens sacked by Bradley Chubb for -8 yards,4.840,2.630
2,13:04,4,10,DEN 12,0,6,Robbie Gould 29 yard field goal good,2.630,3.000
2,13:01,,,SFO 35,0,6,"Bradley Pinion kicks off 60 yards, returned by Brendan Langley for no gain (tackle by James Onwualu). Brendan Langley fumbles (forced by James Onwualu), recovered by Su'a Cravens at DEN-16 (tackle by Pita Taumoepenu)",0.000,-0.140
2,12:53,1,10,DEN 16,0,6,"Tim Patrick left end for 11 yards (tackle by Antone Exum and Ahkello Witherspoon). Penalty on Ahkello Witherspoon: Tripping, 10 yards",-0.140,1.400
2,12:26,1,10,DEN 37,0,6,Phillip Lindsay right tackle for 1 yard (tackle by D.J. Jones),1.400,0.990
