Unnamed: 0,DEN,SFO
First Downs,22,24
Rush-Yds-TDs,27-103-1,30-84-0
Cmp-Att-Yd-TD-INT,24-42-186-1-0,20-33-332-2-1
Sacked-Yards,2-15,3-27
Net Pass Yards,171,305
Total Yards,274,389
Fumbles-Lost,4-0,3-0
Turnovers,0,1
Penalties-Yards,11-62,11-87
Third Down Conv.,2-15,4-13
Fourth Down Conv.,5-7,0-1
Time of Possession,29:19,30:41
