Quarter,Time,Tm,Detail,DEN,SFO
1.0,10:23,49ers,Robbie Gould 40 yard field goal,0,3
2.0,13:01,49ers,Robbie Gould 29 yard field goal,0,6
,9:47,49ers,George Kittle 85 yard pass from Nick Mullens (Robbie Gould kick),0,13
,0:08,49ers,Dante Pettis 1 yard pass from Nick Mullens (Robbie Gould kick),0,20
3.0,6:05,Broncos,Phillip Lindsay 3 yard rush (Brandon McManus kick),7,20
4.0,3:53,Broncos,DaeSean Hamilton 1 yard pass from Case Keenum (Brandon McManus kick),14,20
