Unnamed: 0,STL,SEA
First Downs,20,17
Rush-Yds-TDs,19-79-0,30-153-1
Cmp-Att-Yd-TD-INT,25-42-252-1-1,15-19-250-1-0
Sacked-Yards,0-0,6-41
Net Pass Yards,252,209
Total Yards,331,362
Fumbles-Lost,1-0,2-0
Turnovers,1,0
Penalties-Yards,14-98,10-80
Third Down Conv.,2-11,5-12
Fourth Down Conv.,1-2,0-0
Time of Possession,27:11,32:49
