Quarter,Time,Tm,Detail,STL,SEA
2.0,10:40,Seahawks,Stephen Hauschka 43 yard field goal,0,3
,6:03,Rams,Austin Pettis 2 yard pass from Sam Bradford (Greg Zuerlein kick),7,3
3.0,10:41,Seahawks,Stephen Hauschka 49 yard field goal,7,6
,5:31,Rams,Greg Zuerlein 39 yard field goal,10,6
,2:09,Seahawks,Michael Robinson 10 yard pass from Russell Wilson (Stephen Hauschka kick),10,13
4.0,11:23,Rams,Greg Zuerlein 25 yard field goal,13,13
,1:39,Seahawks,Russell Wilson 1 yard rush (Stephen Hauschka kick),13,20
