Quarter,Time,Down,ToGo,Location,STL,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Steven Hauschka kicks off 70 yards, returned by Chris Givens for 25 yards (tackle by Chris Maragos)",0.000,0.280
1,14:55,1,10,STL 20,0,0,Steven Jackson left guard for 1 yard (tackle by Brandon Mebane and K.J. Wright),0.280,-0.130
1,14:16,2,9,STL 21,0,0,Sam Bradford pass complete short left to Matthew Mulligan for 10 yards (tackle by Malcolm Smith and K.J. Wright),-0.130,1.000
1,13:37,1,10,STL 31,0,0,Steven Jackson left end for 2 yards (tackle by Chris Clemons),1.000,0.730
1,12:58,2,8,STL 33,0,0,"Penalty on Robert Turner: False Start, 5 yards (no play)",0.730,0.060
1,12:30,2,13,STL 28,0,0,Sam Bradford pass complete short right to Steven Jackson for 7 yards (tackle by Bobby Wagner),0.060,0.300
1,11:48,3,6,STL 35,0,0,Sam Bradford pass incomplete,0.300,-1.040
1,11:45,4,6,STL 35,0,0,John Hekker punts 52 yards,-1.040,-0.410
1,11:34,1,10,SEA 22,0,0,Russell Wilson pass complete short middle to Zach Miller for 7 yards (tackle by Cortland Finnegan and James Laurinaitis),0.410,0.810
1,10:58,2,3,SEA 29,0,0,Russell Wilson pass complete short right to Golden Tate for 30 yards (tackle by James Laurinaitis),0.810,2.850
1,10:15,1,10,STL 41,0,0,Marshawn Lynch right tackle for 2 yards (tackle by Jo-Lonn Dunbar and Chris Long),2.850,2.580
1,9:39,2,8,STL 39,0,0,Marshawn Lynch left guard for -1 yards (tackle by Kendall Langford and Chris Long),2.580,1.750
1,9:02,3,9,STL 40,0,0,"Penalty on Eugene Sims: Neutral Zone Infraction, 5 yards (no play)",1.750,2.410
1,8:41,3,4,STL 35,0,0,Russell Wilson pass complete short right to Doug Baldwin for 7 yards (tackle by Trumaine Johnson),2.410,3.710
1,8:13,1,10,STL 28,0,0,"Russell Wilson pass complete deep left to Zach Miller for 28 yards. Penalty on Anthony McCoy: Offensive Pass Interference, 10 yards (no play)",3.710,3.050
1,8:06,1,20,STL 38,0,0,Russell Wilson sacked by Chris Long for -7 yards,3.050,0.870
1,7:33,2,27,STL 45,0,0,Marshawn Lynch left tackle for 15 yards (tackle by Eugene Sims and Cortland Finnegan),0.870,2.210
1,6:52,3,12,STL 30,0,0,Russell Wilson sacked by William Hayes for -5 yards,2.210,0.970
1,6:29,4,17,STL 35,0,0,Penalty on Jon Ryan: Delay of Game (Declined),0.970,0.970
1,6:00,4,17,STL 35,0,0,"Jon Ryan punts 24 yards, fair catch by Danny Amendola",0.970,0.370
1,5:50,1,10,STL 11,0,0,Sam Bradford pass incomplete short left intended for Brandon Gibson,-0.370,-0.780
1,5:47,2,10,STL 11,0,0,Steven Jackson up the middle for no gain (tackle by Chris Clemons),-0.780,-1.420
1,5:12,3,10,STL 11,0,0,Sam Bradford pass complete short middle to Danny Amendola for 9 yards (tackle by Marcus Trufant),-1.420,-2.030
,,,,,,,"STL challenged the first down ruling, and the play was upheld.",,
1,4:54,4,1,STL 20,0,0,John Hekker punts 44 yards,-2.030,-1.330
1,4:45,1,10,SEA 36,0,0,Marshawn Lynch left tackle for 11 yards (tackle by James Laurinaitis and Rocky McIntosh),1.330,2.060
1,4:08,1,10,SEA 47,0,0,Russell Wilson pass complete short right to Marshawn Lynch for 6 yards (tackle by Kendall Langford and Jo-Lonn Dunbar),2.060,2.330
1,3:21,2,4,STL 47,0,0,Robert Turbin left guard for 2 yards (tackle by Quintin Mikell and William Hayes),2.330,1.880
1,2:43,3,2,STL 45,0,0,Russell Wilson left tackle for 3 yards (tackle by Rocky McIntosh),1.880,2.790
1,1:59,1,10,STL 42,0,0,"Russell Wilson for no gain. Russell Wilson fumbles, recovered by Russell Wilson at STL-48",2.790,1.160
1,1:22,2,18,,0,0,Russell Wilson pass incomplete short middle intended for Zach Miller,1.160,0.500
1,1:18,3,18,,0,0,Russell Wilson pass complete short middle to Robert Turbin for 12 yards (tackle by Jo-Lonn Dunbar and James Laurinaitis),0.500,0.720
1,0:40,4,6,STL 38,0,0,"Jon Ryan punts 31 yards, muffed catch by Danny Amendola, ball out of bounds at STL-12",0.720,0.350
1,0:31,1,10,STL 12,0,0,Daryl Richardson right tackle for no gain (tackle by Malcolm Smith),-0.350,-0.780
Quarter,Time,Down,ToGo,Location,STL,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,STL 12,0,0,Daryl Richardson left end for no gain (tackle by Brandon Mebane and Chris Clemons),-0.780,-1.420
2,14:11,3,10,STL 12,0,0,"Penalty on Sam Bradford: Delay of Game, 5 yards (no play)",-1.420,-2.010
2,13:48,3,15,STL 7,0,0,"Sam Bradford pass complete short middle to Daryl Richardson for 11 yards (tackle by K.J. Wright). Penalty on Chris Williams: Unnecessary Roughness, 9 yards",-2.010,-2.490
2,13:31,4,13,STL 9,0,0,"John Hekker punts 33 yards, out of bounds",-2.490,-2.790
2,13:19,1,10,STL 42,0,0,Marshawn Lynch right tackle for 24 yards (tackle by Jo-Lonn Dunbar and Craig Dahl),2.790,4.370
2,12:48,1,10,STL 18,0,0,"Penalty on Breno Giacomini: False Start, 5 yards (no play)",4.370,4.040
2,12:07,1,15,STL 23,0,0,Marshawn Lynch right tackle for no gain (tackle by Jo-Lonn Dunbar),4.040,3.150
2,11:28,2,15,STL 23,0,0,Russell Wilson sacked by Robert Quinn for -2 yards,3.150,2.210
2,10:52,3,17,STL 25,0,0,Russell Wilson pass incomplete short right intended for Anthony McCoy,2.210,1.800
2,10:45,4,17,STL 25,0,3,Steven Hauschka 43 yard field goal good,1.800,3.000
2,10:40,,,SEA 35,0,3,"Steven Hauschka kicks off 67 yards, returned by Chris Givens for 26 yards (tackle by Kam Chancellor)",0.000,0.540
2,10:35,1,10,STL 24,0,3,Sam Bradford pass complete short left to Lance Kendricks for 8 yards (tackle by Bruce Irvin),0.540,1.080
2,10:35,2,2,STL 32,0,3,"Penalty on Red Bryant: Neutral Zone Infraction, 5 yards (no play)",1.080,1.400
2,9:39,1,10,STL 37,0,3,Sam Bradford pass complete short left to Steven Jackson for 3 yards (tackle by Earl Thomas and K.J. Wright),1.400,1.260
2,8:57,2,7,STL 40,0,3,Steven Jackson left guard for 14 yards (tackle by Bobby Wagner),1.260,2.520
2,8:19,1,10,SEA 46,0,3,Sam Bradford pass complete short middle to Steven Jackson for 5 yards (tackle by K.J. Wright and Malcolm Smith),2.520,2.650
2,7:38,2,5,SEA 41,0,3,Sam Bradford pass incomplete short left intended for Matthew Mulligan,2.650,0.000
2,7:34,,,,0,3,Timeout #1 by Seattle Seahawks,0.000,1.950
2,7:34,3,5,SEA 41,0,3,Sam Bradford pass complete short left to Chris Givens for 37 yards (tackle by Earl Thomas),1.950,6.280
2,6:55,1,4,SEA 4,0,3,Steven Jackson right tackle for 2 yards (tackle by Clinton McDonald and Bobby Wagner),6.280,5.720
2,6:09,2,2,SEA 2,6,3,"Sam Bradford pass complete short middle to Austin Pettis for 2 yards, touchdown",5.720,7.000
2,6:09,,,SEA 2,7,3,Greg Zuerlein kicks extra point good,0.000,0.000
2,6:03,,,STL 35,7,3,"Greg Zuerlein kicks off 65 yards, touchback",0.000,0.280
2,6:03,1,10,SEA 20,7,3,Marshawn Lynch left guard for 19 yards (tackle by Quintin Mikell),0.280,1.530
2,5:31,1,10,SEA 39,7,3,Russell Wilson pass complete short right to Zach Miller for 9 yards (tackle by Quintin Mikell and Rocky McIntosh),1.530,2.200
2,4:53,2,1,SEA 48,7,3,Marshawn Lynch up the middle for -4 yards (tackle by Trumaine Johnson and Michael Brockers),2.200,0.960
2,4:08,3,5,SEA 44,7,3,Robert Turbin left end for -7 yards (tackle by Cortland Finnegan),0.960,-0.910
2,3:31,4,12,SEA 37,7,3,"Jon Ryan punts 34 yards, out of bounds",-0.910,-0.870
2,3:24,1,10,STL 29,7,3,Sam Bradford pass incomplete deep right intended for Brandon Gibson,0.870,0.330
2,3:19,2,10,STL 29,7,3,Sam Bradford pass incomplete short middle intended for Austin Pettis,0.330,-0.360
2,3:15,3,10,STL 29,7,3,Sam Bradford pass incomplete short right intended for Danny Amendola,-0.360,-1.440
2,3:09,4,10,STL 29,7,3,"John Hekker punts 57 yards, returned by Leon Washington for 13 yards (tackle by Josh Hull)",-1.440,-0.740
2,2:58,1,10,SEA 27,7,3,Russell Wilson up the middle for 7 yards (tackle by Rocky McIntosh),0.740,1.140
2,2:18,2,3,SEA 34,7,3,"Russell Wilson pass incomplete short left intended for Sidney Rice. Penalty on Janoris Jenkins: Defensive Holding, 5 yards (no play)",1.140,1.530
2,2:15,1,10,SEA 39,7,3,"Penalty on Eugene Sims: Defensive Offside, 5 yards (no play)",1.530,2.260
2,2:15,1,5,SEA 44,7,3,Russell Wilson sacked by Chris Long for -9 yards,2.260,0.450
2,2:00,2,14,SEA 35,7,3,Russell Wilson right end for 11 yards (tackle by Quintin Mikell),0.450,1.220
2,1:28,3,3,SEA 46,7,3,Russell Wilson pass complete short right to Zach Miller for 2 yards (tackle by Trumaine Johnson and Quintin Mikell),1.220,0.000
2,1:17,,,,7,3,Timeout #2 by St. Louis Rams,0.000,-0.190
2,1:17,4,1,SEA 48,7,3,"Jon Ryan punts 52 yards, touchback",-0.190,-0.280
2,1:08,1,10,STL 20,7,3,Sam Bradford pass complete short left to Steven Jackson for 8 yards (tackle by K.J. Wright),0.280,0.810
2,1:04,2,2,STL 28,7,3,Sam Bradford pass complete short middle to Steven Jackson for 5 yards (tackle by K.J. Wright and Bobby Wagner),0.810,1.140
2,0:45,1,10,STL 33,7,3,Sam Bradford pass complete short middle to Danny Amendola for 8 yards (tackle by Bobby Wagner and K.J. Wright),1.140,1.670
