Quarter,Time,Tm,Detail,CAR,NOR
1.0,13:21,Saints,Chris Ivory 35 yard rush (John Kasay kick),0,7
,6:42,Panthers,Steve Smith Sr. 12 yard pass from Cam Newton (Olindo Mare kick),7,7
,2:50,Saints,Marques Colston 15 yard pass from Drew Brees (John Kasay kick),7,14
2.0,5:50,Panthers,Olindo Mare 41 yard field goal,10,14
,2:42,Saints,John Kasay 43 yard field goal,10,17
,1:18,Panthers,Jonathan Stewart 29 yard rush (Olindo Mare kick),17,17
,0:07,Saints,Marques Colston 42 yard pass from Drew Brees (John Kasay kick),17,24
3.0,8:54,Saints,Jimmy Graham 19 yard pass from Drew Brees (John Kasay kick),17,31
,3:47,Saints,Jed Collins 1 yard pass from Drew Brees (John Kasay kick),17,38
4.0,12:15,Saints,Darren Sproles 9 yard pass from Drew Brees (John Kasay kick),17,45
