Unnamed: 0,CAR,NOR
First Downs,21,33
Rush-Yds-TDs,24-164-1,35-208-1
Cmp-Att-Yd-TD-INT,15-25-158-1-1,31-38-409-5-1
Sacked-Yards,2-21,0-0
Net Pass Yards,137,409
Total Yards,301,617
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,1-5,6-60
Third Down Conv.,0-5,6-9
Fourth Down Conv.,0-0,0-1
Time of Possession,25:26,34:34
