Unnamed: 0,STL,CAR
First Downs,15,21
Rush-Yds-TDs,21-63-0,38-102-1
Cmp-Att-Yd-TD-INT,23-34-274-1-1,15-17-204-1-0
Sacked-Yards,4-20,2-24
Net Pass Yards,254,180
Total Yards,317,282
Fumbles-Lost,4-2,1-0
Turnovers,3,0
Penalties-Yards,8-68,7-59
Third Down Conv.,4-13,2-9
Fourth Down Conv.,0-2,0-0
Time of Possession,26:40,33:20
