Quarter,Time,Down,ToGo,Location,STL,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Graham Gano kicks off 69 yards, returned by Stedman Bailey for 26 yards (tackle by Melvin White)",0.000,-0.410
1,14:54,1,10,STL 22,0,6,"Sam Bradford pass incomplete deep right intended for Brian Quick is intercepted by Captain Munnerlyn at STL-45 and returned for 45 yards, touchdown",0.410,-7.000
1,14:39,,,STL 2,0,7,Graham Gano kicks extra point good,0.000,0.000
1,14:39,,,CAR 35,0,7,"Graham Gano kicks off 65 yards, touchback",0.000,-0.280
1,14:39,1,10,STL 20,0,7,Zac Stacy left guard for 1 yard (tackle by Star Lotulelei),0.280,-0.130
1,14:04,2,9,STL 21,0,7,Sam Bradford pass complete short right to Cory Harkey for 8 yards (tackle by Thomas Davis and Josh Thomas),-0.130,0.230
1,13:23,3,1,STL 29,0,7,Sam Bradford pass incomplete short right intended for Brian Quick (defended by Melvin White),0.230,-1.440
1,13:18,4,1,STL 29,0,7,"Johnny Hekker punts 44 yards, returned by Ted Ginn for -1 yards (tackle by Stedman Bailey)",-1.440,-0.670
1,13:07,1,10,CAR 26,0,7,DeAngelo Williams left tackle for -1 yards (tackle by Robert Quinn),0.670,-0.010
1,12:28,2,11,CAR 25,0,7,Cam Newton sacked by Robert Quinn for -11 yards,-0.010,-2.650
1,11:46,3,22,CAR 14,0,7,Cam Newton pass complete short left to Steve Smith for 9 yards (tackle by Darian Stewart),-2.650,-1.830
1,11:02,4,13,CAR 23,0,7,"Brad Nortman punts 45 yards, muffed catch by Tavon Austin, ball out of bounds at STL-34",-1.830,-1.200
1,10:52,1,10,STL 34,0,7,Zac Stacy left tackle for 6 yards (tackle by Chase Blackburn),1.200,1.470
1,10:19,2,4,STL 40,0,7,Zac Stacy up the middle for -2 yards (tackle by Kawann Short),1.470,0.500
1,9:40,3,6,STL 38,0,7,Sam Bradford pass complete short middle to Jared Cook for 13 yards (tackle by Thomas Davis),0.500,2.320
1,9:03,1,10,CAR 49,0,7,Zac Stacy left tackle for -4 yards (tackle by Kawann Short),2.320,1.240
1,8:24,2,14,STL 47,0,7,Sam Bradford pass complete short left to Zac Stacy for 25 yards (tackle by Quintin Mikell),1.240,3.710
1,7:41,1,10,CAR 28,0,7,Sam Bradford pass complete short middle to Brian Quick for 24 yards (tackle by Josh Thomas),3.710,6.280
1,7:01,1,4,CAR 4,0,7,Zac Stacy up the middle for no gain (tackle by Quintin Mikell),6.280,5.340
1,6:21,2,4,CAR 4,0,7,Sam Bradford pass incomplete short right intended for Jared Cook,5.340,4.490
1,6:18,3,4,CAR 4,0,7,Zac Stacy left guard for 3 yards (tackle by Thomas Davis and Captain Munnerlyn),4.490,3.550
1,5:35,4,1,CAR 1,0,7,Sam Bradford pass incomplete short left intended for Jared Cook,3.550,0.380
1,5:30,1,10,CAR 1,2,7,"Mike Tolbert for -1 yards, safety",-0.380,-2.000
1,5:30,,,CAR 20,2,7,"Brad Nortman kicks off 58 yards, returned by Tavon Austin for 15 yards (tackle by James Dockery)",0.000,-1.400
1,5:14,1,10,STL 37,2,7,Zac Stacy right end for 21 yards (tackle by Michael Mitchell),1.400,2.790
1,5:14,1,10,CAR 42,2,7,Daryl Richardson up the middle for no gain (tackle by Charles Johnson),2.790,2.240
1,4:06,2,10,CAR 42,2,7,"Sam Bradford pass complete short left to Tavon Austin for 5 yards (tackle by Michael Mitchell). Tavon Austin fumbles (forced by Michael Mitchell), recovered by Captain Munnerlyn at CAR-37 (tackle by Austin Pettis)",2.240,-1.400
1,3:42,1,10,CAR 37,2,7,Cam Newton pass complete short right to Steve Smith for 10 yards,1.400,2.060
1,3:26,1,10,CAR 47,2,7,DeAngelo Williams up the middle for 8 yards (tackle by Jo-Lonn Dunbar),2.060,2.600
1,2:47,2,2,STL 45,2,7,DeAngelo Williams right guard for no gain (tackle by William Hayes),2.600,1.880
1,2:09,3,2,STL 45,2,7,Mike Tolbert up the middle for 5 yards (tackle by Kendall Langford),1.880,2.920
1,1:31,1,10,STL 40,2,7,Cam Newton pass complete short right to Brandon LaFell for 18 yards (tackle by Trumaine Johnson),2.920,4.110
1,1:01,1,10,STL 22,2,7,Cam Newton up the middle for 4 yards (tackle by Matt Giordano),4.110,4.130
1,1:01,2,6,STL 18,2,7,Cam Newton sacked by James Laurinaitis for -13 yards,4.130,1.690
Quarter,Time,Down,ToGo,Location,STL,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,19,STL 31,2,7,Cam Newton pass complete short left to Ted Ginn for 12 yards (tackle by William Hayes and Trumaine Johnson),1.690,2.180
2,14:15,4,7,STL 19,2,10,Graham Gano 37 yard field goal good,2.180,3.000
2,14:15,,,CAR 35,2,10,"Graham Gano kicks off 65 yards, touchback",0.000,-0.280
2,14:12,1,10,STL 20,2,10,Sam Bradford pass complete short right to Cory Harkey for 6 yards (tackle by Michael Mitchell),0.280,0.540
2,13:56,2,4,STL 26,2,10,Zac Stacy up the middle for 11 yards (tackle by Michael Mitchell),0.540,1.400
2,13:25,1,10,STL 37,2,10,"Sam Bradford pass complete deep left to Tavon Austin for 63 yards. Penalty on Jake Long: Tripping, 10 yards (no play)",1.400,0.740
2,13:16,1,20,STL 27,2,10,Daryl Richardson right guard for 10 yards (tackle by Greg Hardy),0.740,0.860
2,12:39,2,10,STL 37,2,10,Sam Bradford pass complete short right to Jared Cook for 8 yards (tackle by Thomas Davis and Captain Munnerlyn),0.860,1.220
2,11:57,3,2,STL 45,2,10,Sam Bradford pass complete short left to Lance Kendricks for 4 yards (tackle by Luke Kuechly),1.220,2.190
2,11:57,1,10,STL 49,2,10,Daryl Richardson up the middle for -1 yards (tackle by Michael Mitchell),2.190,1.510
2,10:40,2,11,STL 48,2,10,Sam Bradford pass complete short left to Tavon Austin for 7 yards (tackle by Thomas Davis),1.510,1.750
2,9:59,3,4,CAR 45,2,10,Sam Bradford pass complete short left to Chris Givens for 24 yards (tackle by Captain Munnerlyn),1.750,4.170
2,9:15,1,10,CAR 21,2,10,Zac Stacy right guard for 2 yards (tackle by Star Lotulelei and Colin Cole),4.170,3.900
2,8:31,2,8,CAR 19,2,10,Sam Bradford pass complete short right to Lance Kendricks for 3 yards (tackle by Quintin Mikell),3.900,3.630
