Unnamed: 0,MIN,SEA
First Downs,16,28
Rush-Yds-TDs,27-243-2,45-195-1
Cmp-Att-Yd-TD-INT,11-22-63-0-1,17-25-198-3-0
Sacked-Yards,4-19,1-8
Net Pass Yards,44,190
Total Yards,287,385
Fumbles-Lost,1-1,1-0
Turnovers,2,0
Penalties-Yards,6-33,4-49
Third Down Conv.,3-10,4-12
Fourth Down Conv.,0-0,3-3
Time of Possession,24:00,36:00
