Quarter,Time,Down,ToGo,Location,KAN,BUF,Detail,EPB,EPA
1,3:04,2,4,KAN 37,0,0,Ryan Fitzpatrick pass incomplete short right intended for Scott Chandler,2.990,2.280
1,2:58,3,4,KAN 37,0,0,Ryan Fitzpatrick right tackle for 20 yards (tackle by Brandon Flowers),2.280,4.440
1,2:12,1,10,KAN 17,0,0,Ryan Fitzpatrick pass incomplete short right intended for Steve Johnson,4.440,3.850
1,2:07,2,10,KAN 17,0,6,"C.J. Spiller left guard for 17 yards, touchdown",3.850,7.000
1,2:07,,,KAN 2,0,7,Rian Lindell kicks extra point good,0.000,0.000
1,2:01,,,BUF 35,0,7,"John Potter kicks off 65 yards, touchback",0.000,0.280
1,2:01,1,10,KAN 20,0,7,Peyton Hillis up the middle for no gain (tackle by Kelvin Sheppard and Nick Barnett),0.280,-0.270
1,1:21,2,10,KAN 20,0,7,Matt Cassel pass complete short right to Dexter McCluster for 4 yards (tackle by George Wilson and Bryan Scott),-0.270,-0.430
1,0:41,3,6,KAN 24,0,7,Matt Cassel pass incomplete short middle intended for Jamaal Charles,-0.430,-1.770
1,0:36,4,6,KAN 24,0,7,"Dustin Colquitt punts 50 yards, returned by Leodis McKelvin for 7 yards (tackle by Edgar Jones). Penalty on Edgar Jones: Face Mask (15 Yards) (Offsetting), Penalty on Corey McIntyre: Illegal Block Above the Waist (Offsetting)",-1.770,-1.140
1,0:24,1,10,BUF 33,0,7,C.J. Spiller up the middle for 4 yards (tackle by Tyson Jackson and Glenn Dorsey),1.140,1.130
Quarter,Time,Down,ToGo,Location,KAN,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,BUF 37,0,7,Ryan Fitzpatrick right end for 8 yards (tackle by Eric Berry),1.130,1.930
2,14:34,1,10,BUF 45,0,7,Brad Smith for 5 yards (tackle by Justin Houston and Abram Elam),1.930,2.060
2,13:50,2,5,,0,7,C.J. Spiller up the middle for 38 yards (tackle by Abram Elam),2.060,4.780
2,13:01,1,10,KAN 12,0,7,Ryan Fitzpatrick right tackle for 7 yards (tackle by Javier Arenas),4.780,5.410
2,12:38,2,3,KAN 5,0,7,Ryan Fitzpatrick pass incomplete short right intended for Steve Johnson (defended by Brandon Flowers),5.410,4.610
2,12:34,3,3,KAN 5,0,13,"C.J. Spiller left tackle for 5 yards, touchdown",4.610,7.000
2,12:34,,,KAN 2,0,14,Rian Lindell kicks extra point good,0.000,0.000
2,12:29,,,BUF 35,0,14,"John Potter kicks off 72 yards, touchback",0.000,0.280
2,12:29,1,10,KAN 20,0,14,Peyton Hillis right tackle for 4 yards (tackle by Arthur Moats and Terrence McGee),0.280,0.270
2,11:47,2,6,KAN 24,0,14,Matt Cassel pass complete short middle to Dwayne Bowe for 19 yards (tackle by Jairus Byrd),0.270,1.800
2,11:05,1,10,KAN 43,0,14,Jamaal Charles left tackle for 1 yard (tackle by Mark Anderson),1.800,1.390
2,10:21,2,9,KAN 44,0,14,Matt Cassel pass incomplete short left intended for Dexter McCluster,1.390,0.690
2,10:17,3,9,KAN 44,0,14,Matt Cassel sacked by Marcell Dareus for -8 yards,0.690,-0.980
2,9:50,4,17,KAN 36,0,14,"Dustin Colquitt punts 40 yards, out of bounds",-0.980,-0.540
2,9:42,1,10,BUF 24,0,14,Ryan Fitzpatrick pass complete short right to C.J. Spiller for 1 yard (tackle by Justin Houston),0.540,0.130
2,9:02,2,9,BUF 25,0,14,Ryan Fitzpatrick pass incomplete short left intended for Scott Chandler,0.130,-0.560
2,8:57,3,9,BUF 25,0,14,Ryan Fitzpatrick pass complete short middle to Donald Jones for -1 yards (tackle by Abram Elam),-0.560,-1.770
2,8:23,4,10,BUF 24,0,14,"Brian Moorman punts 51 yards, out of bounds",-1.770,-0.610
2,8:16,1,10,KAN 25,0,14,Peyton Hillis right guard for 6 yards (tackle by Terrence McGee),0.610,0.870
2,7:37,2,4,KAN 31,0,14,Matt Cassel pass incomplete deep middle intended for Tony Moeaki,0.870,0.170
2,7:30,3,4,KAN 31,0,14,Matt Cassel pass complete short right to Dwayne Bowe for 10 yards (tackle by Terrence McGee),0.170,1.660
2,7:05,1,10,KAN 41,0,14,"Matt Cassel sacked by Alex Carrington for -3 yards. Matt Cassel fumbles (forced by Alex Carrington), recovered by Mario Williams at KAN-43 (tackle by Eric Winston)",1.660,-2.720
2,6:58,1,10,KAN 43,0,14,C.J. Spiller up the middle for 1 yard (tackle by Derrick O. Johnson),2.720,2.310
2,6:15,2,9,KAN 42,0,14,C.J. Spiller up the middle for 6 yards (tackle by Eric Berry and Ropati Pitoitua),2.310,2.410
2,5:34,3,3,KAN 36,0,14,Ryan Fitzpatrick pass complete short left to Steve Johnson for 7 yards (tackle by Stanford Routt),2.410,3.640
2,4:49,1,10,KAN 29,0,14,Ryan Fitzpatrick pass complete short left to C.J. Spiller for 27 yards (tackle by Tamba Hali),3.640,6.740
2,4:21,1,2,KAN 2,0,14,Dorin Dickerson left end for -8 yards (tackle by Abram Elam and Eric Berry),6.740,4.190
2,3:33,2,10,KAN 10,0,20,"Ryan Fitzpatrick pass complete short left to Scott Chandler for 10 yards, touchdown",4.190,7.000
2,3:33,,,KAN 2,0,21,Rian Lindell kicks extra point good,0.000,0.000
2,3:29,,,BUF 35,0,21,"John Potter kicks off 60 yards, returned by Javier Arenas for 17 yards (tackle by Ruvell Martin)",0.000,0.410
2,3:25,1,10,KAN 22,0,21,"Penalty on Eric Winston: False Start, 5 yards (no play)",0.410,-0.120
2,3:25,1,15,KAN 17,0,21,Peyton Hillis up the middle for 8 yards (tackle by Kelvin Sheppard and Nick Barnett),-0.120,0.270
2,2:49,2,7,KAN 25,0,21,Matt Cassel pass complete short right to Dwayne Bowe for 9 yards,0.270,1.200
2,2:31,1,10,KAN 34,0,21,"Matt Cassel pass complete deep middle to Kevin Boss for 20 yards (tackle by George Wilson). Penalty on Peyton Hillis: Chop Block, 15 yards (no play)",1.200,0.090
2,2:10,1,25,KAN 19,0,21,Matt Cassel pass complete short middle to Jamaal Charles for 7 yards (tackle by Kelvin Sheppard),0.090,-0.420
2,2:00,2,18,KAN 26,0,21,"Matt Cassel pass complete deep middle to Kevin Boss for 29 yards (tackle by Da'Norris Searcy). Penalty on Da'Norris Searcy: Unnecessary Roughness, 15 yards",-0.420,3.580
2,1:48,1,10,BUF 30,0,21,"Matt Cassel pass incomplete short left intended for Steve Breaston. Penalty on Stephon Gilmore: Defensive Holding, 5 yards (no play)",3.580,3.910
2,1:43,1,10,BUF 25,0,21,Shaun Draughn left guard for 3 yards (tackle by Nick Barnett),3.910,3.770
2,1:06,2,7,BUF 22,0,21,Matt Cassel pass incomplete deep right intended for Dwayne Bowe,3.770,3.070
2,1:01,3,7,BUF 22,0,21,Matt Cassel left guard for 21 yards (tackle by Justin Rogers and Jairus Byrd),3.070,0.000
2,0:49,,,,0,21,Timeout #1 by Kansas City Chiefs,0.000,6.970
2,0:49,1,1,BUF 1,0,21,Matt Cassel pass incomplete short left intended for Dwayne Bowe (defended by Stephon Gilmore),6.970,5.910
2,0:45,2,1,BUF 1,0,21,"Peyton Hillis up the middle for no gain (tackle by Nick Barnett). Peyton Hillis fumbles (forced by Nick Barnett), recovered by Bryan Scott at BUF--1",5.910,-0.280
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,0:38,1,10,BUF 20,0,21,Ryan Fitzpatrick kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,KAN,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,KAN 35,0,21,"Ryan Succop kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,BUF 20,0,21,Ryan Fitzpatrick pass incomplete short left intended for Steve Johnson (defended by Stanford Routt),0.280,-0.270
3,14:56,2,10,BUF 20,0,21,Ryan Fitzpatrick pass complete short right to T.J. Graham for 7 yards (tackle by Eric Berry),-0.270,-0.030
3,14:14,3,3,BUF 27,0,21,Ryan Fitzpatrick pass incomplete short left intended for Donald Jones (defended by Dontari Poe),-0.030,-1.570
3,14:09,4,3,BUF 27,0,21,Brian Moorman punts 43 yards,-1.570,-1.070
3,14:02,1,10,KAN 32,0,21,Jamaal Charles up the middle for 2 yards (tackle by Mario Williams),1.070,0.800
3,13:26,2,8,KAN 34,0,21,Matt Cassel pass incomplete short left intended for Dwayne Bowe (defended by Stephon Gilmore),0.800,0.100
3,13:20,3,8,KAN 34,0,21,Matt Cassel pass incomplete short right intended for Tony Moeaki,0.100,-1.110
3,13:13,4,8,KAN 34,0,21,"Dustin Colquitt punts 66 yards, touchback",-1.110,-0.280
3,13:06,1,10,BUF 20,0,21,"Brad Smith for no gain. Brad Smith fumbles, recovered by Brad Smith at BUF-5",0.280,-1.880
3,12:29,2,25,BUF 5,0,21,C.J. Spiller right guard for 7 yards (tackle by Tyson Jackson and Justin Houston),-1.880,-2.360
3,11:56,3,18,BUF 12,0,21,C.J. Spiller up the middle for 6 yards (tackle by Derrick O. Johnson),-2.360,-2.240
3,11:16,4,12,BUF 18,0,21,"Brian Moorman punts 43 yards, returned by Javier Arenas for 23 yards (tackle by Nigel Bradham)",-2.240,-3.050
3,11:05,1,10,BUF 38,0,21,Matt Cassel pass incomplete deep left intended for Jonathan Baldwin,3.050,2.510
3,11:02,2,10,BUF 38,0,21,Matt Cassel pass complete short left to Dexter McCluster for 10 yards (tackle by Stephon Gilmore). Penalty on BUF: Defensive 12 On-field (Declined),2.510,3.710
3,10:18,1,10,BUF 28,0,21,Matt Cassel pass complete short left to Jonathan Baldwin for 10 yards (tackle by Stephon Gilmore),3.710,4.370
3,9:37,1,10,BUF 18,0,21,Matt Cassel pass complete short middle to Dexter McCluster for 6 yards (tackle by Aaron Williams),4.370,4.810
3,8:53,2,4,BUF 12,0,21,Jamaal Charles left tackle for no gain (tackle by Stephon Gilmore),4.810,4.030
3,8:10,3,4,BUF 12,0,21,Matt Cassel sacked by Kyle Williams for -3 yards,4.030,2.440
3,7:36,4,7,BUF 15,3,21,Ryan Succop 33 yard field goal good,2.440,3.000
3,7:32,,,KAN 35,3,21,"Ryan Succop kicks off 73 yards, touchback",0.000,0.280
3,7:32,1,10,BUF 20,3,21,"C.J. Spiller right tackle for 2 yards (tackle by Jovan Belcher). Penalty on Lee Smith: Offensive Holding, 10 yards (no play)",0.280,-0.760
3,7:04,1,20,BUF 10,3,21,Ryan Fitzpatrick pass complete short right to Scott Chandler for 43 yards (tackle by Abram Elam),-0.760,2.460
3,6:30,1,10,KAN 47,3,21,C.J. Spiller right tackle for -2 yards (tackle by Justin Houston),2.460,1.640
3,5:49,2,12,KAN 49,3,21,Ryan Fitzpatrick pass incomplete short left intended for Donald Jones,1.640,0.960
3,5:45,3,12,KAN 49,3,27,"Ryan Fitzpatrick pass complete short right to Steve Johnson for 49 yards, touchdown",0.960,7.000
3,5:45,,,KAN 2,3,28,Rian Lindell kicks extra point good,0.000,0.000
3,5:35,,,BUF 35,3,28,"John Potter kicks off 59 yards, returned by Javier Arenas for 23 yards (tackle by Da'Norris Searcy)",0.000,0.870
3,5:29,1,10,KAN 29,3,28,Matt Cassel pass complete short middle to Dexter McCluster for 12 yards (tackle by Jairus Byrd),0.870,1.660
3,4:52,1,10,KAN 41,3,28,"Matt Cassel pass incomplete short middle intended for Peyton Hillis. Penalty on Matt Cassel: Intentional Grounding, 8 yards",1.660,0.040
3,4:47,2,18,KAN 33,3,28,Matt Cassel pass incomplete deep right intended for Jonathan Baldwin. Penalty on Eric Winston: Offensive Holding (Declined),0.040,-0.630
3,4:40,3,18,KAN 33,3,28,Matt Cassel pass complete short middle to Peyton Hillis for 10 yards (tackle by Nick Barnett and Jairus Byrd),-0.630,-0.520
3,4:05,4,8,KAN 43,3,34,"Dustin Colquitt punts 45 yards, returned by Leodis McKelvin for 88 yards, touchdown",-0.520,-7.000
3,,,,KAN 2,3,35,Rian Lindell kicks extra point good,0.000,0.000
3,3:46,,,BUF 35,3,35,"John Potter kicks off 65 yards, touchback",0.000,0.280
3,3:45,1,10,KAN 20,3,35,Peyton Hillis up the middle for 3 yards (tackle by Mark Anderson),0.280,0.140
3,3:09,2,7,KAN 23,3,35,Matt Cassel sacked by Kelvin Sheppard for -10 yards,0.140,-2.190
3,2:32,3,17,KAN 13,3,35,Peyton Hillis right tackle for 18 yards (tackle by Jairus Byrd and Terrence McGee),-2.190,1.000
3,1:46,1,10,KAN 31,3,35,Matt Cassel pass incomplete deep left intended for Jonathan Baldwin (defended by Stephon Gilmore),1.000,0.460
3,1:39,2,10,KAN 31,3,35,Shaun Draughn up the middle for 25 yards (tackle by George Wilson),0.460,2.650
3,0:51,1,10,BUF 44,3,35,Matt Cassel pass complete short middle to Dwayne Bowe for 14 yards (tackle by George Wilson),2.650,3.580
3,0:51,1,10,BUF 30,3,35,Matt Cassel sacked by Kyle Williams for -8 yards,3.580,1.950
Quarter,Time,Down,ToGo,Location,KAN,BUF,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,18,BUF 38,3,35,Matt Cassel up the middle for 4 yards (tackle by Spencer Johnson),1.950,1.820
4,14:16,3,14,BUF 34,3,35,Matt Cassel pass incomplete short left intended for Shaun Draughn,1.820,1.060
4,14:09,4,14,BUF 34,3,35,Dustin Colquitt punts 31 yards,1.060,0.380
4,14:01,1,10,BUF 3,3,35,Tashard Choice left guard for 1 yard (tackle by Dontari Poe),-0.380,-0.710
4,13:21,2,9,BUF 4,3,35,Tashard Choice right tackle for 6 yards (tackle by Tamba Hali and Ropati Pitoitua),-0.710,-0.600
4,12:38,3,3,BUF 10,3,35,Tashard Choice up the middle for 6 yards (tackle by Ropati Pitoitua and Abram Elam),-0.600,-0.140
4,11:55,1,10,BUF 16,3,35,Tashard Choice up the middle for 9 yards (tackle by Derrick O. Johnson),-0.140,0.690
4,11:11,2,1,BUF 25,3,35,C.J. Spiller up the middle for 20 yards (tackle by Abram Elam),0.690,0.000
4,10:21,,,,3,35,Timeout #2 by Buffalo Bills,0.000,1.930
4,10:21,1,10,BUF 45,3,35,Johnny White for 2 yards (tackle by Stanford Routt),1.930,1.650
4,9:37,2,8,BUF 47,3,35,Tashard Choice up the middle for 3 yards (tackle by Dontari Poe and Jovan Belcher),1.650,1.360
4,8:54,3,5,,3,35,Ryan Fitzpatrick pass incomplete short left intended for Tashard Choice (defended by Tysyn Hartman),1.360,-0.060
4,8:46,4,5,,3,35,"Brian Moorman punts 50 yards, touchback",-0.060,-0.280
4,8:39,1,10,KAN 20,3,35,Shaun Draughn left guard for 1 yard (tackle by Jairus Byrd),0.280,-0.130
4,8:07,2,9,KAN 21,3,35,Shaun Draughn up the middle for 9 yards (tackle by Arthur Moats),-0.130,0.940
4,7:37,1,10,KAN 30,3,35,Matt Cassel pass complete short right to Dwayne Bowe for 11 yards (tackle by Aaron Williams),0.940,1.660
4,6:57,1,10,KAN 41,3,35,Matt Cassel pass complete deep left to Jonathan Baldwin for 26 yards (tackle by Stephon Gilmore),1.660,3.380
4,6:32,1,10,BUF 33,9,35,"Matt Cassel pass complete deep right to Dwayne Bowe for 33 yards, touchdown",3.380,7.000
4,6:32,,,BUF 2,10,35,Ryan Succop kicks extra point good,0.000,0.000
4,6:26,,,KAN 35,10,35,"Ryan Succop kicks off 50 yards, returned by Brad Smith for 5 yards (tackle by Tysyn Hartman)",0.000,0.280
4,6:23,1,10,BUF 20,10,35,Johnny White right guard for 4 yards (tackle by Abram Elam and Glenn Dorsey),0.280,0.270
4,5:36,2,6,BUF 24,10,35,Johnny White up the middle for no gain (tackle by Derrick O. Johnson),0.270,-0.430
4,4:54,3,6,BUF 24,10,35,Johnny White up the middle for 5 yards (tackle by Derrick O. Johnson and Tyson Jackson),-0.430,-1.440
4,4:09,4,1,BUF 29,10,35,"Brian Moorman punts 54 yards, out of bounds",-1.440,0.060
4,4:01,1,10,KAN 17,10,35,Peyton Hillis right guard for 17 yards (tackle by Da'Norris Searcy),-0.060,1.200
4,3:27,1,10,KAN 34,10,35,Peyton Hillis right guard for 4 yards (tackle by Da'Norris Searcy and Nigel Bradham),1.200,1.200
4,2:54,2,6,KAN 38,10,35,Matt Cassel pass incomplete short right intended for Dwayne Bowe (defended by Aaron Williams),1.200,0.500
4,2:49,3,6,KAN 38,10,35,Matt Cassel pass complete short right to Shaun Draughn for 23 yards (tackle by Chris White),0.500,2.980
4,2:15,1,10,BUF 39,10,35,Matt Cassel pass incomplete deep left intended for Dwayne Bowe,2.980,2.440
4,2:11,2,10,BUF 39,10,35,Matt Cassel pass complete short middle to Tony Moeaki for 9 yards (tackle by Jairus Byrd),2.440,2.940
4,2:00,3,1,BUF 30,10,35,Peyton Hillis left tackle for 2 yards (tackle by Chris White),2.940,3.710
4,1:29,1,10,BUF 28,10,35,Matt Cassel pass complete deep left to Jonathan Baldwin for 26 yards (tackle by Stephon Gilmore),3.710,0.000
4,1:14,,,,10,35,Timeout #3 by Buffalo Bills,0.000,6.740
4,1:14,1,2,BUF 2,16,35,"Matt Cassel pass complete short left to Dwayne Bowe for 2 yards, touchdown",6.740,7.000
4,1:14,,,BUF 2,17,35,Ryan Succop kicks extra point good,0.000,0.000
4,1:10,,,KAN 35,17,35,"Ryan Succop kicks off 65 yards, touchback",0.000,0.280
4,1:10,1,10,BUF 20,17,35,Tyler Thigpen kneels for -1 yards,0.280,0.000
4,1:07,,,,17,35,Timeout #1 by Kansas City Chiefs,0.000,-0.460
4,1:07,2,11,BUF 19,17,35,Johnny White left guard for 2 yards (tackle by Jerrell Powe),-0.460,0.000
4,1:01,,,,17,35,Timeout #2 by Kansas City Chiefs,0.000,-0.820
4,1:00,3,9,BUF 21,17,35,Johnny White up the middle for no gain (tackle by Edgar Jones),-0.820,0.000
4,0:50,,,,17,35,Timeout #3 by Kansas City Chiefs,0.000,-1.960
4,0:50,4,9,BUF 21,17,35,"Brian Moorman punts 48 yards, muffed catch by Steve Breaston, recovered by Steve Breaston and returned for 21 yards (tackle by Nigel Bradham)",-1.960,-2.390
4,0:35,1,10,BUF 48,17,35,Matt Cassel pass incomplete deep middle intended for Tony Moeaki,2.390,1.850
4,0:30,2,10,BUF 48,17,35,Shaun Draughn right guard for 18 yards (tackle by Terrence McGee),1.850,3.580
4,0:14,1,10,BUF 30,17,35,Matt Cassel spiked the ball,3.580,3.030
4,0:12,2,10,BUF 30,17,35,Matt Cassel pass incomplete deep right intended for Dwayne Bowe (defended by George Wilson),3.030,2.340
4,0:05,3,10,BUF 30,17,35,Matt Cassel pass incomplete deep middle intended for Steve Breaston is intercepted by Jairus Byrd at BUF--9,2.340,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
