Unnamed: 0,KAN,BUF
First Downs,25,15
Rush-Yds-TDs,24-150-0,36-201-2
Cmp-Att-Yd-TD-INT,23-42-301-2-1,10-19-178-2-0
Sacked-Yards,5-29,0-0
Net Pass Yards,272,178
Total Yards,422,379
Fumbles-Lost,3-2,1-0
Turnovers,3,0
Penalties-Yards,4-33,5-50
Third Down Conv.,5-14,5-12
Fourth Down Conv.,0-0,0-0
Time of Possession,30:39,29:21
