Quarter,Time,Down,ToGo,Location,ATL,STL,Detail,EPB,EPA
2,12:26,3,15,STL 39,0,14,"Joey Harrington pass complete short middle to Roddy White for 5 yards (tackle by Ronald Bartell). Roddy White fumbles (forced by Ronald Bartell), recovered by Ronald Bartell at STL-34 and returned for 7 yards (tackle by D'Anthony Batiste)",1.420,-1.660
2,12:12,1,10,STL 41,0,14,Gus Frerotte pass complete short left to Steven Jackson for no gain,1.660,1.120
2,11:36,2,10,STL 41,0,14,Steven Jackson right guard for 3 yards (tackle by Lawyer Milloy),1.120,0.830
2,10:53,3,7,STL 44,0,14,Gus Frerotte pass incomplete deep left intended for Torry Holt,0.830,-0.460
2,10:47,4,7,STL 44,0,14,Donnie Jones punts 39 yards,-0.460,0.060
2,10:39,1,10,ATL 17,0,14,Jerious Norwood left end for 1 yard (tackle by Corey Chavous),-0.060,-0.420
2,10:02,2,9,ATL 18,0,14,Jerious Norwood left end for 19 yards (tackle by Corey Chavous),-0.420,1.400
2,9:24,1,10,ATL 37,0,14,Joey Harrington pass complete short right to Alge Crumpler for 12 yards (tackle by Brandon Chillar),1.400,2.190
2,8:42,1,10,ATL 49,0,14,Jerious Norwood left tackle for no gain (tackle by Will Witherspoon),2.190,1.650
2,8:04,2,10,ATL 49,0,14,Joey Harrington pass complete short middle to Dwayne Blakley for 5 yards (tackle by Brandon Chillar),1.650,1.620
2,7:25,3,5,STL 46,0,14,Joey Harrington pass incomplete short middle intended for Alge Crumpler,1.620,0.200
2,7:21,4,5,STL 46,0,14,"Michael Koenen punts 34 yards, fair catch by Brandon Williams",0.200,0.350
2,7:13,1,10,STL 12,0,14,Antonio Pittman left tackle for -3 yards (tackle by Jonathan Babineaux),-0.350,-1.000
2,6:38,2,13,STL 9,0,14,Gus Frerotte pass incomplete short right intended for Torry Holt,-1.000,-1.770
2,6:34,3,13,STL 9,0,14,Gus Frerotte pass complete short left to Brian Leonard for 11 yards (tackle by Michael Boley),-1.770,-2.030
2,5:56,4,2,STL 20,0,14,"Donnie Jones punts 51 yards, returned by Adam Jennings for 13 yards (tackle by Claude Wroten)",-2.030,-1.730
2,5:43,1,10,ATL 42,0,14,Joey Harrington pass incomplete deep middle intended for Roddy White,1.730,1.190
2,5:36,2,10,ATL 42,0,14,Joey Harrington pass incomplete deep right intended for Alge Crumpler (defended by Brandon Chillar),1.190,0.500
2,5:30,3,10,ATL 42,0,14,Joey Harrington pass complete short left to Joe Horn for 3 yards (tackle by Will Witherspoon),0.500,-0.390
2,4:57,4,7,ATL 45,0,14,"Michael Koenen punts 55 yards, touchback",-0.390,-0.280
2,4:46,1,10,STL 20,0,14,Gus Frerotte pass complete short right to Isaac Bruce for 8 yards (tackle by Michael Boley),0.280,0.810
2,4:26,2,2,STL 28,0,14,Steven Jackson right tackle for 5 yards (tackle by Keith Brooking),0.810,1.140
2,3:48,1,10,STL 33,0,14,Gus Frerotte pass complete short left to Steven Jackson for 37 yards (tackle by John Abraham),1.140,3.580
2,3:15,1,10,ATL 30,0,14,Steven Jackson right guard for 3 yards (tackle by Michael Boley),3.580,3.440
2,2:32,2,7,ATL 27,0,14,Gus Frerotte pass complete deep left to Torry Holt for 19 yards (tackle by Lewis Sanders),3.440,5.370
2,2:00,1,8,ATL 8,0,20,"Gus Frerotte pass complete short left to Isaac Bruce for 8 yards, touchdown",5.370,7.000
2,,,,ATL 2,0,21,Jeff Wilkins kicks extra point good,0.000,0.000
2,,,,STL 30,0,21,"Jeff Wilkins kicks off 65 yards, returned by Jerious Norwood for 19 yards (tackle by Quinton Culberson)",0.000,0.540
2,1:49,1,10,ATL 24,0,21,Joey Harrington sacked by La'Roi Glover for -9 yards,0.540,-1.350
2,1:38,,,,0,21,Timeout #1 by St. Louis Rams,0.000,-1.350
2,1:38,2,19,ATL 15,0,21,Joey Harrington pass complete short middle to Roddy White for 17 yards (tackle by Fakhir Brown),-1.350,0.370
2,1:14,3,2,ATL 32,0,21,Warrick Dunn right guard for 5 yards (tackle by Eric Moore),0.370,1.400
2,0:56,1,10,ATL 37,0,21,Joey Harrington pass incomplete short left intended for Michael Jenkins,1.400,0.860
2,0:51,2,10,ATL 37,0,21,Joey Harrington pass complete short left to Michael Jenkins for 9 yards (tackle by Ronald Bartell),0.860,1.360
2,0:44,3,1,ATL 46,0,21,Warrick Dunn for 3 yards (tackle by Victor Adeyanju),1.360,2.190
2,0:40,1,10,ATL 49,0,21,Joey Harrington pass incomplete deep right intended for Roddy White,2.190,1.650
2,0:35,2,10,ATL 49,0,21,"Joey Harrington pass complete short middle to Michael Jenkins for 8 yards (tackle by Brandon Chillar). Penalty on Quinn Ojinnaka: Illegal Use of Hands, 10 yards (no play)",1.650,0.300
2,0:27,2,20,ATL 39,0,21,Joey Harrington pass complete short right to Laurent Robinson for 11 yards (tackle by Tye Hill),0.300,1.090
2,0:20,,,,0,21,Timeout #2 by St. Louis Rams,0.000,1.090
2,0:20,3,9,,0,21,Joey Harrington pass incomplete short right intended for Alge Crumpler (defended by Brandon Chillar),1.090,-0.060
2,0:16,4,9,,0,21,"Michael Koenen punts 50 yards, touchback",-0.060,-0.280
2,0:07,1,10,STL 20,0,21,Gus Frerotte kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,ATL,STL,Detail,EPB,EPA
