Unnamed: 0,ATL,STL
First Downs,23,19
Rush-Yds-TDs,18-111-0,26-105-1
Cmp-Att-Yd-TD-INT,33-58-356-2-2,23-35-311-3-2
Sacked-Yards,4-32,1-7
Net Pass Yards,324,304
Total Yards,435,409
Fumbles-Lost,1-1,1-0
Turnovers,3,2
Penalties-Yards,8-55,5-46
Third Down Conv.,8-19,4-12
Fourth Down Conv.,0-2,0-0
Time of Possession,30:55,29:05
