Quarter,Time,Tm,Detail,ATL,STL
1.0,9:40,Rams,Randy McMichael 1 yard pass from Gus Frerotte (Jeff Wilkins kick),0,7
,3:38,Rams,Torry Holt 31 yard pass from Gus Frerotte (Jeff Wilkins kick),0,14
2.0,1:55,Rams,Isaac Bruce 8 yard pass from Gus Frerotte (Jeff Wilkins kick),0,21
3.0,8:24,Falcons,Morten Andersen 41 yard field goal,3,21
4.0,11:48,Falcons,Roddy White 15 yard pass from Chris Redman (pass failed),9,21
,7:17,Falcons,Michael Jenkins 5 yard pass from Chris Redman (Morten Andersen kick),16,21
,1:17,Rams,Steven Jackson 50 yard rush (Jeff Wilkins kick),16,28
