Unnamed: 0,JAX,BUF
First Downs,20,15
Rush-Yds-TDs,37-183-1,29-153-3
Cmp-Att-Yd-TD-INT,13-26-126-2-0,12-18-166-1-0
Sacked-Yards,2-8,5-15
Net Pass Yards,118,151
Total Yards,301,304
Fumbles-Lost,2-0,0-0
Turnovers,0,0
Penalties-Yards,6-60,6-31
Third Down Conv.,8-15,5-12
Fourth Down Conv.,0-1,1-1
Time of Possession,33:35,26:25
