Quarter,Time,Tm,Detail,JAX,BUF
1.0,8:15,Jaguars,Chris Ivory 2 yard rush (Jason Myers kick),7,0
2.0,0:20,Bills,LeSean McCoy 7 yard rush (Dan Carpenter kick failed),7,6
3.0,14:47,Bills,LeSean McCoy 75 yard rush (Dan Carpenter kick),7,13
,9:26,Jaguars,Marqise Lee 20 yard pass from Blake Bortles (Jason Myers kick),14,13
,3:00,Bills,Tyrod Taylor 7 yard rush (Dan Carpenter kick),14,20
4.0,14:52,Jaguars,Allen Hurns 12 yard pass from Blake Bortles (Jason Myers kick),21,20
,10:46,Bills,Justin Hunter 16 yard pass from Tyrod Taylor (LeSean McCoy run),21,28
