Quarter,Time,Tm,Detail,SFO,KAN
2,14:48,49ers,Jake Moody 55 yard field goal,3,0
,4:23,49ers,Christian McCaffrey 21 yard pass from Jauan Jennings (Jake Moody kick),10,0
,0:20,Chiefs,Harrison Butker 28 yard field goal,10,3
3,5:01,Chiefs,Harrison Butker 57 yard field goal,10,6
,2:28,Chiefs,Marquez Valdes-Scantling 16 yard pass from Patrick Mahomes (Harrison Butker kick),10,13
4,11:22,49ers,Jauan Jennings 10 yard pass from Brock Purdy (Jake Moody kick failed),16,13
,5:46,Chiefs,Harrison Butker 24 yard field goal,16,16
,1:53,49ers,Jake Moody 53 yard field goal,19,16
,0:03,Chiefs,Harrison Butker 29 yard field goal,19,19
OT,7:22,49ers,Jake Moody 27 yard field goal,22,19
,0:03,Chiefs,Mecole Hardman 3 yard pass from Patrick Mahomes,22,25
