Unnamed: 0,SFO,KAN
First Downs,23,24
Rush-Yds-TDs,31-110-0,30-130-0
Cmp-Att-Yd-TD-INT,24-39-276-2-0,34-46-333-2-1
Sacked-Yards,1-4,3-8
Net Pass Yards,272,325
Total Yards,382,455
Fumbles-Lost,2-2,5-1
Turnovers,2,2
Penalties-Yards,6-40,6-55
Third Down Conv.,3-12,9-19
Fourth Down Conv.,1-1,1-1
Time of Possession,38:31,36:26
