Quarter,Time,Down,ToGo,Location,SFO,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,SFO 25,0,0,Christian McCaffrey left guard for 6 yards (tackle by George Karlaftis),0.610,0.870
1,14:24,2,4,SFO 31,0,0,Brock Purdy pass complete short right to Kyle Juszczyk for 18 yards (tackle by Nick Bolton),0.870,2.190
1,13:41,1,10,SFO 49,0,0,Brock Purdy pass complete short middle to Christian McCaffrey for 11 yards (tackle by Leo Chenal),2.190,2.920
1,13:02,1,10,KAN 40,0,0,Christian McCaffrey up the middle for 11 yards (tackle by Mike Edwards),2.920,3.640
1,12:23,1,10,KAN 29,0,0,"Christian McCaffrey right guard for 2 yards. Christian McCaffrey fumbles (forced by Leo Chenal), recovered by George Karlaftis at KC-27 and returned for 2 yards",3.640,-0.740
1,12:15,1,10,KAN 27,0,0,Isiah Pacheco left guard for -3 yards (tackle by Nick Bosa and Javon Hargrave),0.740,-0.210
1,11:39,2,13,KAN 24,0,0,Patrick Mahomes pass complete short left to Travis Kelce for 1 yard (tackle by Chase Young and Dre Greenlaw),-0.210,-0.760
1,11:04,3,12,KAN 25,0,0,Patrick Mahomes pass complete short right to Jerick McKinnon for 8 yards (tackle by Fred Warner and Dre Greenlaw),-0.760,-1.180
1,10:25,4,4,KAN 33,0,0,"Tommy Townsend punts 43 yards, fair catch by Ray-Ray McCloud at SF-24",-1.180,-0.540
1,10:16,1,10,SFO 24,0,0,Brock Purdy pass complete short middle to Brandon Aiyuk for 18 yards (tackle by Justin Reid),0.540,1.730
1,9:41,1,10,SFO 42,0,0,Deebo Samuel right end for -2 yards (tackle by Nick Bolton and George Karlaftis),1.730,0.920
1,8:58,2,12,SFO 40,0,0,"Penalty on Trent Williams: False Start, 5 yards (accepted) (no play)",0.920,0.240
1,8:41,2,17,SFO 35,0,0,"Brock Purdy pass complete short right to George Kittle for no gain (tackle by Joshua Williams). Penalty on Trent Williams: Offensive Holding, 10 yards (accepted) (no play)",0.240,-1.110
1,8:09,2,27,SFO 25,0,0,Brock Purdy pass complete short right to Christian McCaffrey for 8 yards (tackle by Justin Reid and George Karlaftis),-1.110,-0.690
1,7:27,3,19,SFO 33,0,0,Brock Purdy pass complete short middle to Deebo Samuel for 12 yards (tackle by Chamarri Conner and Joshua Williams),-0.690,-0.390
1,6:42,4,7,SFO 45,0,0,"Penalty on Dee Winters: False Start, 5 yards (accepted) (no play)",-0.390,-0.720
1,6:42,4,12,SFO 40,0,0,"Mitch Wishnowsky punts 54 yards, returned by Richie James for 5 yards (tackle by Chris Conley)",-0.720,0.370
1,6:28,1,10,KAN 11,0,0,Isiah Pacheco right guard for 10 yards (tackle by Ji'Ayir Brown and Logan Ryan),-0.370,0.340
1,5:55,1,10,KAN 21,0,0,Patrick Mahomes sacked by Chase Young for -4 yards,0.340,-0.860
1,5:15,2,14,KAN 17,0,0,Patrick Mahomes pass complete short left to Rashee Rice for no gain (tackle by Fred Warner),-0.860,-1.590
1,4:36,3,14,KAN 17,0,0,Patrick Mahomes scrambles up the middle for 4 yards (tackle by Randy Gregory),-1.590,-1.960
1,4:01,4,10,KAN 21,0,0,"Tommy Townsend punts 62 yards, returned by Ray-Ray McCloud for no gain (tackle by Joshua Williams)",-1.960,0.060
1,3:53,1,10,SFO 17,0,0,"Christian McCaffrey left end for 8 yards (tackle by Justin Reid and Chamarri Conner). Penalty on Malik Herring: Defensive Offside, 5 yards (accepted) (no play)",-0.060,0.810
1,3:36,1,5,SFO 22,0,0,Christian McCaffrey left tackle for 3 yards (tackle by Chamarri Conner and Nick Bolton),0.810,0.620
1,2:56,2,2,SFO 25,0,0,Christian McCaffrey left guard for 4 yards (tackle by Willie Gay and Nick Bolton),0.620,0.870
1,2:21,1,10,SFO 29,0,0,Brock Purdy pass complete short right to Christian McCaffrey for 1 yard (tackle by George Karlaftis),0.870,0.460
1,1:57,2,9,SFO 30,0,0,Brock Purdy pass incomplete deep left intended for Deebo Samuel,0.460,-0.230
1,1:51,3,9,SFO 30,0,0,Brock Purdy pass complete deep left to Chris Conley for 18 yards (tackle by Jaylen Watson),-0.230,2.130
1,1:14,1,10,SFO 48,0,0,Brock Purdy pass complete deep right to Ray-Ray McCloud for 19 yards (tackle by L'Jarius Sneed),2.130,3.380
1,0:32,1,10,KAN 33,0,0,Brock Purdy pass incomplete deep middle intended for Brandon Aiyuk,3.380,2.840
1,0:26,2,10,KAN 33,0,0,Christian McCaffrey up the middle for -4 yards (tackle by Felix Anudike-Uzomah),2.840,1.620
Quarter,Time,Down,ToGo,Location,SFO,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,14,KAN 37,0,0,Brock Purdy pass incomplete deep left intended for Deebo Samuel (defended by Trent McDuffie),1.620,0.790
2,14:53,4,14,KAN 37,3,0,Jake Moody 55 yard field goal good,0.790,3.000
2,14:48,,,SFO 35,3,0,"Jake Moody kicks off 65 yards, touchback.",0.000,0.610
2,14:48,1,10,KAN 25,3,0,Patrick Mahomes pass complete short left to Isiah Pacheco for 7 yards (tackle by Tashaun Gipson),0.610,1.010
2,14:15,2,3,KAN 32,3,0,Isiah Pacheco right guard for 2 yards (tackle by Kevin Givens),1.010,0.560
2,13:41,3,1,KAN 34,3,0,"Rashee Rice right tackle for 5 yards. Rashee Rice fumbles (forced by Logan Ryan), recovered by Justin Watson at KC-37 and returned for 2 yards (tackle by Ji'Ayir Brown)",0.560,1.530
2,13:01,1,10,KAN 39,3,0,Patrick Mahomes pass complete deep right to Mecole Hardman for 52 yards (tackle by Ji'Ayir Brown),1.530,5.140
2,12:21,1,9,SFO 9,3,0,"Isiah Pacheco left tackle for no gain. Isiah Pacheco fumbles (forced by Deommodore Lenoir), recovered by Javon Hargrave at SF-8",5.140,0.380
2,11:59,1,10,SFO 8,3,0,"Brock Purdy scrambles left end for 9 yards (tackle by Nick Bolton). Penalty on Nick Bolton: Horse Collar Tackle, 15 yards (accepted)",-0.380,1.070
2,11:36,1,10,SFO 32,3,0,Deebo Samuel up the middle for 1 yard (tackle by Chris Jones and Mike Pennel),1.070,0.660
2,10:58,2,9,SFO 33,3,0,Christian McCaffrey left guard for no gain (tackle by Mike Pennel and Chris Jones),0.660,-0.030
2,10:12,3,9,SFO 33,3,0,Brock Purdy sacked by and Justin Reid for -4 yards and George Karlaftis for -4 yards,-0.030,-1.440
2,9:26,4,13,SFO 29,3,0,"Mitch Wishnowsky punts 51 yards, recovered by Richie James at KC-20 (tackle by Charlie Woerner and Brayden Willis)",-1.440,-0.280
2,9:16,1,10,KAN 20,3,0,"Patrick Mahomes pass incomplete short left. Penalty on Patrick Mahomes: Intentional Grounding, 10 yards (accepted)",0.280,-1.510
2,9:07,2,20,KAN 10,3,0,Isiah Pacheco up the middle for 4 yards (tackle by Fred Warner and Javon Kinlaw),-1.510,-2.030
2,8:35,3,16,KAN 14,3,0,Patrick Mahomes scrambles right tackle for 3 yards (tackle by Arik Armstead),-2.030,-2.320
2,7:57,4,13,KAN 17,3,0,"Tommy Townsend punts 50 yards, fair catch by Ray-Ray McCloud at SF-33",-2.320,-1.140
2,7:49,1,10,SFO 33,3,0,Brock Purdy pass incomplete short middle intended for Deebo Samuel,1.140,0.590
2,7:44,2,10,SFO 33,3,0,Brock Purdy pass complete short middle to Deebo Samuel for 12 yards (tackle by Nick Bolton and Justin Reid),0.590,1.930
2,7:04,1,10,SFO 45,3,0,Brock Purdy pass complete short left to Christian McCaffrey for 6 yards (tackle by Justin Reid),1.930,2.190
2,6:22,2,4,KAN 49,3,0,Christian McCaffrey left tackle for 5 yards (tackle by Willie Gay),2.190,2.650
2,5:41,1,10,KAN 44,3,0,Elijah Mitchell right guard for 7 yards (tackle by Mike Edwards and Nick Bolton),2.650,3.060
2,5:06,2,3,KAN 37,3,0,"Elijah Mitchell right end for 1 yard (tackle by Chris Jones). Penalty on L'Jarius Sneed: Unnecessary Roughness / Defense, 15 yards (accepted)",3.060,4.170
2,4:39,1,10,KAN 21,3,0,Brock Purdy pass incomplete short middle intended for Deebo Samuel (defended by L'Jarius Sneed),4.170,3.630
2,4:32,2,10,KAN 21,9,0,"Jauan Jennings pass complete short right to Christian McCaffrey for 21 yards, touchdown",3.630,7.000
2,4:23,,,KAN 15,10,0,Jake Moody kicks extra point good,0.000,0.000
2,4:23,,,SFO 35,10,0,"Jake Moody kicks off 65 yards, touchback.",0.000,0.610
2,4:23,1,10,KAN 25,10,0,Isiah Pacheco left end for 8 yards (tackle by Ji'Ayir Brown),0.610,1.140
2,3:44,2,2,KAN 33,10,0,Isiah Pacheco up the middle for 6 yards (tackle by Fred Warner and Demetrius Flannigan-Fowles),1.140,1.530
2,3:10,1,10,KAN 39,10,0,Patrick Mahomes pass complete short right to Isiah Pacheco for 6 yards (tackle by Fred Warner and Logan Ryan),1.530,1.800
2,2:31,2,4,KAN 45,10,0,Clyde Edwards-Helaire left tackle for no gain (tackle by Nick Bosa),1.800,1.090
2,2:00,3,4,KAN 45,10,0,"Penalty on Mecole Hardman: False Start, 5 yards (accepted) (no play)",1.090,0.430
2,2:00,3,9,KAN 40,10,0,"Patrick Mahomes pass complete short middle to Justin Watson for 21 yards (tackle by Ji'Ayir Brown). Penalty on Fred Warner: Defensive Holding, 5 yards (declined)",0.430,2.980
2,1:50,1,10,SFO 39,10,0,Patrick Mahomes pass incomplete deep right intended for Justin Watson,2.980,2.440
2,1:45,2,10,SFO 39,10,0,Patrick Mahomes pass complete short right to Isiah Pacheco for 8 yards (tackle by Oren Burks),2.440,2.810
2,1:40,3,2,SFO 31,10,0,Patrick Mahomes pass complete short left to Rashee Rice for 6 yards (tackle by Logan Ryan),2.810,3.910
2,1:16,1,10,SFO 25,10,0,Patrick Mahomes pass complete short middle to Rashee Rice for 11 yards (tackle by Fred Warner),3.910,4.650
2,1:09,,,,,,Timeout #1 by Kansas City Chiefs,,
2,1:09,1,10,SFO 14,10,0,Patrick Mahomes pass complete short right to Rashee Rice for 3 yards (tackle by Nick Bosa),4.650,4.520
2,0:37,2,7,SFO 11,10,0,Rashee Rice left tackle for 2 yards (tackle by Javon Kinlaw),4.520,4.050
2,0:31,,,,,,Timeout #2 by Kansas City Chiefs,,
2,0:31,3,5,SFO 9,10,0,Patrick Mahomes sacked by Arik Armstead for -1 yards,4.050,2.790
2,0:23,,,,,,Timeout #1 by San Francisco 49ers,,
2,0:23,4,6,SFO 10,10,3,Harrison Butker 28 yard field goal good,2.790,3.000
2,0:20,,,KAN 35,10,3,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,0:20,1,10,SFO 25,10,3,Christian McCaffrey left tackle for 6 yards (tackle by Jaylen Watson),0.610,0.870
Quarter,Time,Down,ToGo,Location,SFO,KAN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 35,10,3,"Jake Moody kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,KAN 25,10,3,"Patrick Mahomes aborted snap, recovered by Isiah Pacheco at KC-25 Isiah Pacheco for no gain (tackle by Nick Bosa)",0.610,-1.640
3,14:15,2,22,KAN 13,10,3,Patrick Mahomes pass complete short middle to Noah Gray for 10 yards (tackle by Logan Ryan),-1.640,-0.890
3,13:38,3,12,KAN 23,10,3,Patrick Mahomes pass deep right intended for Marquez Valdes-Scantling is intercepted by Ji'Ayir Brown at KC-44 and returned for no gain (tackle by Travis Kelce),-0.890,-2.650
3,13:30,1,10,KAN 44,10,3,Brock Purdy pass incomplete short right,2.650,2.110
3,13:26,2,10,KAN 44,10,3,"Penalty on Aaron Banks: False Start, 5 yards (accepted) (no play)",2.110,1.440
3,13:26,2,15,KAN 49,10,3,Brock Purdy pass incomplete short left intended for Deebo Samuel,1.440,0.760
3,13:22,3,15,KAN 49,10,3,Brock Purdy scrambles left end for 4 yards (tackle by Willie Gay),0.760,0.270
3,12:39,4,11,KAN 45,10,3,Mitch Wishnowsky punts 43 yards downed by Chris Conley,0.270,0.380
3,12:31,1,10,KAN 2,10,3,Patrick Mahomes pass incomplete deep left intended for Marquez Valdes-Scantling,-0.380,-0.780
3,12:26,2,10,KAN 2,10,3,Patrick Mahomes pass complete short right to Travis Kelce for 9 yards (tackle by Oren Burks and Charvarius Ward),-0.780,-0.370
3,11:46,,,,,,Timeout #1 by Kansas City Chiefs,,
3,11:46,3,1,KAN 11,10,3,Isiah Pacheco up the middle for no gain (tackle by Javon Kinlaw),-0.370,-2.490
3,10:53,4,1,KAN 11,10,3,"Tommy Townsend punts 53 yards, fair catch by Ray-Ray McCloud at SF-36",-2.490,-1.330
3,10:45,1,10,SFO 36,10,3,Brock Purdy pass complete short right to Jauan Jennings for -8 yards (tackle by Leo Chenal),1.330,-0.290
3,10:00,2,18,SFO 28,10,3,Brock Purdy pass complete short left to Christian McCaffrey for 7 yards (tackle by Nick Bolton),-0.290,-0.030
3,9:15,3,11,SFO 35,10,3,Brock Purdy pass incomplete deep left intended for George Kittle,-0.030,-1.040
3,9:10,4,11,SFO 35,10,3,"Mitch Wishnowsky punts 51 yards, returned by Richie James for no gain (tackle by Chris Conley)",-1.040,0.280
3,9:02,1,10,KAN 14,10,3,Patrick Mahomes pass complete short right to Travis Kelce for 11 yards (tackle by Charvarius Ward),-0.280,0.610
3,8:28,1,10,KAN 25,10,3,Patrick Mahomes pass complete short left to Isiah Pacheco for 3 yards (tackle by Deommodore Lenoir and Javon Kinlaw),0.610,0.470
3,7:52,2,7,KAN 28,10,3,Isiah Pacheco left guard for 3 yards (tackle by Tashaun Gipson),0.470,0.170
3,7:16,3,4,KAN 31,10,3,Patrick Mahomes scrambles left end for 4 yards (tackle by Deommodore Lenoir and Arik Armstead),0.170,1.270
3,6:40,1,10,KAN 35,10,3,Patrick Mahomes right guard for 22 yards (tackle by Logan Ryan),1.270,2.720
3,6:03,1,10,SFO 43,10,3,Isiah Pacheco right guard for 2 yards (tackle by Demetrius Flannigan-Fowles),2.720,2.450
3,5:31,2,8,SFO 41,10,3,Patrick Mahomes pass incomplete short right,2.450,1.750
3,5:24,3,8,SFO 41,10,3,Patrick Mahomes pass complete short left to Mecole Hardman for 2 yards (tackle by Deommodore Lenoir),1.750,0.660
3,5:06,4,6,SFO 39,10,6,Harrison Butker 57 yard field goal good,0.660,3.000
3,5:01,,,KAN 35,10,6,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
3,5:01,1,10,SFO 25,10,6,Christian McCaffrey up the middle for no gain (tackle by Mike Pennel),0.610,0.060
3,4:23,2,10,SFO 25,10,6,Brock Purdy pass incomplete short left intended for Brandon Aiyuk (defended by Mike Edwards),0.060,-0.620
3,4:17,3,10,SFO 25,10,6,Brock Purdy pass incomplete deep middle intended for Deebo Samuel (defended by Trent McDuffie),-0.620,-1.700
3,4:11,4,10,SFO 25,10,6,"Mitch Wishnowsky punts 55 yards, returned by Richie James for 7 yards (tackle by George Odum)",-1.700,-0.740
3,3:59,1,10,KAN 27,10,6,Isiah Pacheco up the middle for 3 yards (tackle by Demetrius Flannigan-Fowles and Sebastian Joseph-Day),0.740,0.600
3,3:26,2,7,KAN 30,10,6,Patrick Mahomes pass complete short middle to Travis Kelce for 5 yards (tackle by Oren Burks),0.600,0.560
3,2:49,3,2,KAN 35,10,6,Patrick Mahomes pass incomplete short right intended for Richie James,0.560,-1.040
3,2:42,4,2,KAN 35,10,6,"Tommy Townsend punts 46 yards, recovered by Jaylen Watson at SF-19 and returned for 3 yards",-1.040,4.510
3,2:32,1,10,SFO 16,10,12,"Patrick Mahomes pass complete deep right to Marquez Valdes-Scantling for 16 yards, touchdown",4.510,7.000
3,2:28,,,SFO 15,10,13,Harrison Butker kicks extra point good,0.000,0.000
3,2:28,,,KAN 35,10,13,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
3,2:28,1,10,SFO 25,10,13,Brock Purdy pass incomplete short right intended for Brandon Aiyuk (defended by Neil Farrell),0.610,0.060
3,2:23,2,10,SFO 25,10,13,Christian McCaffrey up the middle for 5 yards (tackle by Nick Bolton and Trent McDuffie),0.060,0.040
3,1:43,,,,,,Timeout #1 by San Francisco 49ers,,
3,1:43,3,5,SFO 30,10,13,Brock Purdy pass complete short right to Jauan Jennings for 17 yards (tackle by Mike Edwards and Nick Bolton),0.040,2.060
3,1:00,1,10,SFO 47,10,13,Brock Purdy pass complete short left to Deebo Samuel for 9 yards (tackle by Mike Edwards and Nick Bolton),2.060,2.730
3,0:20,2,1,KAN 44,10,13,Kyle Juszczyk up the middle for 2 yards (tackle by L'Jarius Sneed and Justin Reid),2.730,2.790
Quarter,Time,Down,ToGo,Location,SFO,KAN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,KAN 42,10,13,Brock Purdy pass complete deep middle to Brandon Aiyuk for 20 yards (tackle by Mike Edwards and Justin Reid),2.790,4.110
4,14:14,1,10,KAN 22,10,13,Brock Purdy pass incomplete deep right intended for Deebo Samuel,4.110,3.560
4,14:09,2,10,KAN 22,10,13,Christian McCaffrey left end for 8 yards (tackle by Mike Edwards),3.560,4.150
