Quarter,Time,Tm,Detail,CIN,SDG
2.0,14:56,Bengals,BenJarvus Green-Ellis 4 yard rush (Mike Nugent kick),7,0
,11:11,Chargers,Ladarius Green 30 yard pass from Philip Rivers (Nick Novak kick),7,7
3.0,1:42,Bengals,A.J. Green 21 yard pass from Andy Dalton (Mike Nugent kick),14,7
4.0,9:16,Bengals,Mike Nugent 46 yard field goal,17,7
,4:43,Chargers,Nick Novak 48 yard field goal,17,10
