Quarter,Time,Tm,Detail,SDG,ARI
2.0,12:42,Cardinals,Chandler Catanzaro 22 yard field goal,0,3
,6:00,Chargers,Nick Novak 36 yard field goal,3,3
,0:00,Cardinals,Chandler Catanzaro 44 yard field goal,3,6
3.0,11:38,Chargers,Malcom Floyd 6 yard pass from Philip Rivers (Nick Novak kick),10,6
,5:26,Chargers,Ryan Mathews 20 yard rush (Nick Novak kick),17,6
4.0,12:30,Cardinals,Stepfan Taylor 5 yard pass from Carson Palmer (run failed),17,12
,2:25,Cardinals,John Brown 13 yard pass from Carson Palmer (pass failed),17,18
