Unnamed: 0,KAN,DEN
First Downs,23,22
Rush-Yds-TDs,27-110-2,29-110-0
Cmp-Att-Yd-TD-INT,22-36-284-0-1,21-31-254-2-2
Sacked-Yards,2-15,5-28
Net Pass Yards,269,226
Total Yards,379,336
Fumbles-Lost,2-1,1-1
Turnovers,2,3
Penalties-Yards,4-40,4-30
Third Down Conv.,4-11,5-12
Fourth Down Conv.,1-1,1-2
Time of Possession,29:03,30:57
