Quarter,Time,Down,ToGo,Location,PHI,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Alex Henery kicks off 46 yards, returned by Joe Banyard for 6 yards (tackle by Brad Smith)",0.000,-0.610
1,14:57,1,10,MIN 25,0,0,Matt Cassel pass complete short left to Cordarrelle Patterson for 9 yards (tackle by Nate Allen),0.610,1.280
1,14:23,2,1,MIN 34,0,0,Matt Asiata up the middle for no gain (tackle by DeMeco Ryans),1.280,0.560
1,13:42,3,1,MIN 34,0,0,Matt Asiata up the middle for 3 yards (tackle by Connor Barwin),0.560,1.400
1,13:07,1,10,MIN 37,0,0,Matt Cassel pass complete short left to Greg Jennings for 8 yards (tackle by Cary Williams),1.400,1.940
1,12:35,2,2,MIN 45,0,0,Matt Asiata left tackle for 4 yards (tackle by Fletcher Cox),1.940,2.190
1,11:55,1,10,MIN 49,0,0,Matt Cassel pass complete short left to Chase Ford for 18 yards (tackle by Patrick Chung),2.190,3.380
1,11:16,1,10,PHI 33,0,0,"Penalty on Rhett Ellison: False Start, 5 yards (no play)",3.380,3.050
1,10:58,1,15,PHI 38,0,0,Matt Cassel pass complete short right to Cordarrelle Patterson for 3 yards (tackle by Brandon Boykin),3.050,2.570
1,10:23,2,12,PHI 35,0,0,Matt Asiata right tackle for -1 yards (tackle by Trent Cole),2.570,1.750
1,9:44,3,13,PHI 36,0,0,Matt Cassel sacked by Connor Barwin for -1 yards,1.750,0.790
1,9:33,4,14,PHI 37,0,0,Blair Walsh 55 yard field goal no good,0.790,-1.930
1,9:30,1,10,PHI 45,0,0,Nick Foles pass complete short left to Riley Cooper for -1 yards (tackle by Andrew Sendejo),1.930,1.250
1,9:07,2,11,PHI 44,0,0,LeSean McCoy up the middle for 1 yard (tackle by Chad Greenway),1.250,0.700
1,8:34,3,10,PHI 45,0,0,Nick Foles pass incomplete short left intended for Zach Ertz,0.700,-0.390
1,8:29,4,10,PHI 45,0,0,"Donnie Jones punts 46 yards, fair catch by Marcus Sherels",-0.390,0.380
1,8:22,1,10,MIN 9,0,0,Matt Asiata up the middle for 2 yards (tackle by Mychal Kendricks),-0.380,-0.630
1,7:45,2,8,MIN 11,0,0,Matt Cassel pass complete short left to Jarius Wright for 26 yards (tackle by DeMeco Ryans),-0.630,1.400
1,6:59,1,10,MIN 37,0,0,Matt Cassel pass complete short right to Greg Jennings for 6 yards,1.400,1.670
1,6:26,2,4,MIN 43,0,6,"Matt Cassel pass complete deep right to Greg Jennings for 57 yards, touchdown",1.670,7.000
1,6:26,,,PHI 2,0,7,Blair Walsh kicks extra point good,0.000,0.000
1,6:26,,,MIN 35,0,7,"Blair Walsh kicks off 74 yards, touchback",0.000,-0.280
1,6:18,1,10,PHI 20,0,7,LeSean McCoy left end for 16 yards (tackle by Harrison Smith),0.280,1.330
1,5:56,1,10,PHI 36,0,7,"Nick Foles pass incomplete deep left intended for Jason Avant. Penalty on Jason Avant: Offensive Pass Interference, 10 yards (no play)",1.330,0.670
1,5:49,1,20,PHI 26,0,7,Nick Foles right end for 9 yards (tackle by Jamarca Sanford),0.670,0.660
1,5:16,2,11,PHI 35,0,7,Nick Foles pass incomplete short right intended for Chris Polk,0.660,-0.030
1,5:10,3,11,PHI 35,0,7,Nick Foles left tackle for 21 yards (tackle by Harrison Smith),-0.030,2.650
1,4:31,1,10,MIN 44,0,7,Nick Foles pass complete short right to LeSean McCoy for 24 yards (tackle by Marcus Sherels),2.650,4.240
1,4:05,1,10,MIN 20,0,7,Nick Foles left end for 6 yards,4.240,4.640
1,3:38,2,4,MIN 14,0,7,LeSean McCoy right guard for no gain (tackle by Audie Cole and Harrison Smith),4.640,3.890
1,3:02,3,4,MIN 14,0,7,Nick Foles sacked by Jared Allen for -3 yards,3.890,2.310
1,2:39,4,7,MIN 17,3,7,Alex Henery 35 yard field goal good,2.310,3.000
1,2:39,,,PHI 35,3,7,"Alex Henery kicks off 40 yards, returned by Jerome Felton for 13 yards (tackle by Brandon Graham)",0.000,-1.470
1,2:31,1,10,MIN 38,3,7,Matt Cassel pass complete deep middle to Greg Jennings for 22 yards (tackle by Bradley Fletcher),1.470,2.920
1,1:50,1,10,PHI 40,3,7,Matt Asiata up the middle for 1 yard (tackle by Mychal Kendricks),2.920,2.510
1,1:09,2,9,PHI 39,3,7,Matt Cassel pass complete deep right to Jerome Simpson for 19 yards (tackle by Roc Carmichael and DeMeco Ryans),2.510,4.240
1,0:43,1,10,PHI 20,3,7,Matt Asiata up the middle for 3 yards (tackle by Kurt Coleman),4.240,4.120
Quarter,Time,Down,ToGo,Location,PHI,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,PHI 17,3,7,Matt Cassel pass incomplete deep middle intended for Cordarrelle Patterson,4.120,3.360
2,14:55,3,7,PHI 17,3,7,Matt Cassel pass complete short right to Matt Asiata for 8 yards (tackle by Vinny Curry),3.360,5.140
2,14:11,1,9,PHI 9,3,7,Matt Cassel pass incomplete short middle intended for Jerome Simpson,5.140,4.380
2,14:05,2,9,PHI 9,3,7,Matt Asiata right guard for 6 yards (tackle by Nate Allen and Mychal Kendricks),4.380,4.720
2,13:26,3,3,PHI 3,3,7,Matt Cassel pass incomplete short left intended for Joe Webb,4.720,3.040
2,13:22,4,3,PHI 3,3,10,Blair Walsh 21 yard field goal good,3.040,3.000
2,13:22,,,MIN 35,3,10,"Blair Walsh kicks off 74 yards, touchback",0.000,-0.280
2,13:19,1,10,PHI 20,3,10,LeSean McCoy right tackle for 2 yards (tackle by Jamarca Sanford and Kevin Williams),0.280,0.000
2,12:55,2,8,PHI 22,3,10,Nick Foles pass incomplete short right intended for DeSean Jackson,0.000,-0.690
2,12:50,3,8,PHI 22,3,10,Nick Foles pass complete short right to DeSean Jackson for 17 yards (tackle by Marcus Sherels),-0.690,1.530
2,12:15,1,10,PHI 39,3,10,Nick Foles pass complete deep right to DeSean Jackson for 20 yards (tackle by Marcus Sherels),1.530,2.850
2,11:59,1,10,MIN 41,3,10,Nick Foles pass incomplete deep left intended for Riley Cooper,2.850,2.310
2,11:52,2,10,MIN 41,3,10,Nick Foles pass complete short right to Brad Smith for 14 yards (tackle by Harrison Smith),2.310,3.780
2,11:18,1,10,MIN 27,3,10,Nick Foles pass complete short right to Zach Ertz for 4 yards (tackle by Audie Cole),3.780,3.770
2,10:40,2,6,MIN 23,3,10,Nick Foles up the middle for 5 yards (tackle by Brian Robison and Audie Cole),3.770,3.840
2,9:54,3,1,MIN 18,3,10,Nick Foles up the middle for no gain (tackle by Jared Allen),3.840,2.400
2,9:08,4,1,MIN 18,3,10,"DeSean Jackson left end for 18 yards. Penalty on Nick Foles: Low Block, 15 yards (no play)",2.400,1.150
2,8:55,4,16,MIN 33,6,10,Alex Henery 51 yard field goal good,1.150,3.000
2,8:55,,,PHI 35,6,10,"Alex Henery kicks off 42 yards, returned by Chase Ford for 2 yards (tackle by Chris Polk)",0.000,-0.610
2,8:52,1,10,MIN 25,6,10,Matt Asiata left tackle for 6 yards (tackle by Trent Cole),0.610,0.870
2,8:21,2,4,MIN 31,6,10,Matt Cassel pass complete short left to Greg Jennings for 6 yards (tackle by Kurt Coleman),0.870,1.400
2,7:40,1,10,MIN 37,6,10,Matt Asiata left tackle for no gain (tackle by Fletcher Cox),1.400,0.860
2,7:05,2,10,MIN 37,6,10,Matt Cassel pass complete short left to Greg Jennings for 9 yards,0.860,1.360
2,6:35,3,1,MIN 46,6,10,Matt Asiata left tackle for 1 yard (tackle by Fletcher Cox and Bennie Logan),1.360,2.060
2,5:54,1,10,MIN 47,6,10,Matt Cassel pass incomplete short right intended for Matt Asiata,2.060,1.520
2,5:49,2,10,MIN 47,6,10,Matt Cassel pass incomplete deep right intended for Greg Jennings,1.520,0.830
2,5:43,3,10,MIN 47,6,10,"Penalty on Trent Cole: Neutral Zone Infraction, 5 yards (no play)",0.830,1.490
2,5:43,3,5,PHI 48,6,10,Matt Cassel right end for 12 yards (tackle by DeMeco Ryans),1.490,3.180
2,5:01,1,10,PHI 36,6,10,Matt Cassel up the middle for 1 yard (tackle by Cedric Thornton and Fletcher Cox),3.180,2.770
2,4:19,2,9,PHI 35,6,10,Matt Cassel pass complete short right to Greg Jennings for 6 yards (tackle by Bradley Fletcher),2.770,2.870
2,3:35,3,3,PHI 29,6,10,Cordarrelle Patterson right end for 3 yards (tackle by Brandon Boykin),2.870,3.840
2,3:14,1,10,PHI 26,6,10,Matt Asiata right end for 2 yards (tackle by Connor Barwin),3.840,3.570
2,2:38,2,8,PHI 24,6,10,Cordarrelle Patterson left end for 12 yards (tackle by Nate Allen),3.570,4.780
2,2:00,1,10,PHI 12,6,10,Matt Cassel pass complete short left to Matt Asiata for 5 yards (tackle by Mychal Kendricks and Nate Allen),4.780,5.020
