Unnamed: 0,PHI,MIN
First Downs,25,29
Rush-Yds-TDs,13-79-0,35-85-4
Cmp-Att-Yd-TD-INT,30-48-428-3-1,26-35-382-2-1
Sacked-Yards,4-32,3-12
Net Pass Yards,396,370
Total Yards,475,455
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,9-94,3-25
Third Down Conv.,7-14,8-13
Fourth Down Conv.,0-1,0-0
Time of Possession,23:34,36:26
