Quarter,Time,Tm,Detail,SDG,PIT
1.0,11:49,Steelers,Rashard Mendenhall 1 yard rush (Jeff Reed kick),0,7
,4:08,Steelers,Mewelde Moore 19 yard pass from Ben Roethlisberger (Jeff Reed kick),0,14
2.0,1:28,Steelers,Rashard Mendenhall 2 yard rush (Jeff Reed kick),0,21
3.0,7:48,Steelers,Heath Miller 6 yard pass from Ben Roethlisberger (Jeff Reed kick),0,28
,1:33,Chargers,Antonio Gates 3 yard pass from Philip Rivers (Nate Kaeding kick),7,28
4.0,12:37,Chargers,Jacob Hester 41 yard fumble return (Nate Kaeding kick),14,28
,7:18,Steelers,Heath Miller 6 yard pass from Mewelde Moore (Jeff Reed kick),14,35
,5:48,Chargers,Antonio Gates 30 yard pass from Philip Rivers (Nate Kaeding kick),21,35
,4:31,Chargers,Chris Chambers 13 yard pass from Philip Rivers (Nate Kaeding kick),28,35
,0:43,Steelers,Jeff Reed 46 yard field goal,28,38
