Unnamed: 0,SDG,PIT
First Downs,17,32
Rush-Yds-TDs,8-16-0,36-177-2
Cmp-Att-Yd-TD-INT,21-36-254-3-0,27-34-339-3-0
Sacked-Yards,3-19,3-19
Net Pass Yards,235,320
Total Yards,251,497
Fumbles-Lost,1-1,3-1
Turnovers,1,1
Penalties-Yards,3-20,6-59
Third Down Conv.,3-9,8-12
Fourth Down Conv.,0-0,1-1
Time of Possession,19:40,40:20
