Unnamed: 0,PIT,OAK
First Downs,15,9
Rush-Yds-TDs,28-89-0,29-81-0
Cmp-Att-Yd-TD-INT,25-37-301-1-4,5-14-51-0-1
Sacked-Yards,5-30,6-34
Net Pass Yards,271,17
Total Yards,360,98
Fumbles-Lost,1-0,0-0
Turnovers,4,1
Penalties-Yards,6-70,5-45
Third Down Conv.,7-19,1-11
Fourth Down Conv.,1-3,0-1
Time of Possession,35:30,24:30
