Quarter,Time,Down,ToGo,Location,DEN,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss, Jets to receive the opening kickoff.",,
1,15:00,,,DEN 30,0,0,"Matt Prater kicks off 70 yards, touchback",0.000,0.280
1,14:56,1,10,NYJ 20,0,0,Thomas Jones up the middle for 4 yards (tackle by Ebenezer Ekuban),0.280,0.270
1,14:14,2,6,NYJ 24,0,0,Brett Favre pass incomplete short left intended for Chris Baker,0.270,-0.430
1,14:11,3,6,NYJ 24,0,0,Brett Favre pass incomplete short middle intended for Dustin Keller (defended by Josh Barrett),-0.430,-1.770
1,14:05,4,6,NYJ 24,0,0,Reggie Hodges punts 44 yards,-1.770,-1.070
1,13:52,1,10,DEN 32,0,0,Jay Cutler pass complete short left to Eddie Royal for 4 yards (tackle by Bryan Thomas),1.070,1.070
1,13:20,2,6,DEN 36,0,0,Peyton Hillis right tackle for 19 yards (tackle by Ty Law and Kerry Rhodes),1.070,2.590
1,12:42,1,10,NYJ 45,0,0,Jay Cutler pass incomplete short right intended for Brandon Stokley (defended by Calvin Pace),2.590,2.040
1,12:38,2,10,NYJ 45,0,0,Peyton Hillis right tackle for 6 yards (tackle by Eric Barton),2.040,2.150
1,12:00,3,4,NYJ 39,0,0,Jay Cutler pass incomplete short right intended for Brandon Marshall,2.150,0.660
1,11:56,4,4,NYJ 39,0,0,"Brett Kern punts 27 yards, returned by Leon Washington for 2 yards (tackle by Niko Koutouvides)",0.660,0.280
1,11:46,1,10,NYJ 14,0,0,"Thomas Jones up the middle for no gain. Thomas Jones fumbles, recovered by Damien Woody at NYJ-14",-0.280,-0.750
1,11:06,2,10,NYJ 14,0,0,Brett Favre pass complete short right to Jerricho Cotchery for 7 yards (tackle by Josh Bell),-0.750,-0.560
1,10:19,3,3,NYJ 21,0,0,"Penalty on Kenny Peterson: Neutral Zone Infraction, 5 yards (no play)",-0.560,0.670
1,10:09,1,10,NYJ 26,0,0,Thomas Jones up the middle for 1 yard (tackle by Wesley Woodyard and Marquand Manuel),0.670,0.270
1,9:31,2,9,NYJ 27,0,0,Brett Favre pass complete short left to Thomas Jones for 12 yards (tackle by Wesley Woodyard),0.270,1.530
1,9:31,1,10,NYJ 39,6,0,"Brad Smith for no gain. Brad Smith fumbles, recovered by Vernon Fox at NYJ-23 and returned for 23 yards, touchdown",1.530,-7.000
1,,,,NYJ 2,7,0,Matt Prater kicks extra point good,0.000,0.000
1,,,,DEN 30,7,0,"Matt Prater kicks off 60 yards, returned by Leon Washington for 31 yards (tackle by Matt Prater)",0.000,1.660
1,8:32,1,10,NYJ 41,7,6,"Thomas Jones right tackle for 59 yards, touchdown",1.660,7.000
1,,,,DEN 2,7,7,Jay Feely kicks extra point good,0.000,0.000
1,,,,NYJ 30,7,7,"Jay Feely kicks off 59 yards, returned by Eddie Royal for 17 yards (tackle by James Ihedigbo)",0.000,0.810
1,8:16,1,10,DEN 28,7,7,Jay Cutler pass complete short left to Tony Scheffler for 9 yards (tackle by Ty Law),0.810,1.480
1,7:38,2,1,DEN 37,7,7,Peyton Hillis right tackle for 4 yards (tackle by Mike DeVito and Sione Pouha),1.480,1.660
1,7:02,1,10,DEN 41,7,7,Jay Cutler pass incomplete deep right intended for Daniel Graham (defended by Eric Barton),1.660,1.120
1,6:55,2,10,DEN 41,13,7,"Jay Cutler pass complete deep right to Eddie Royal for 59 yards, touchdown",1.120,7.000
,,,,,,,"NYJ challenged the runner was in bounds ruling, and the play was upheld.",,
1,,,,NYJ 2,14,7,Matt Prater kicks extra point good,0.000,0.000
1,,,,DEN 30,14,7,"Matt Prater kicks off 61 yards, returned by Leon Washington for 17 yards (tackle by Niko Koutouvides)",0.000,0.670
1,6:38,1,10,NYJ 26,14,7,"Brett Favre pass incomplete short right intended for Jerricho Cotchery (defended by Jamie Winborn). Penalty on Brandon Moore: Offensive Holding, 10 yards (no play)",0.670,-0.300
1,6:34,1,20,NYJ 16,14,7,Thomas Jones right tackle for 1 yard (tackle by Mario Haggan),-0.300,-1.220
1,6:08,2,19,NYJ 17,14,7,Brett Favre pass incomplete short right intended for Leon Washington,-1.220,-2.020
1,6:02,3,19,NYJ 17,14,7,Leon Washington left end for 4 yards (tackle by Jamie Winborn and Josh Barrett),-2.020,-1.960
1,5:31,4,15,NYJ 21,14,7,"Reggie Hodges punts 38 yards, returned by Mario Haggan for no gain",-1.960,-1.660
1,5:20,1,10,DEN 41,14,7,Peyton Hillis left tackle for 19 yards (tackle by Abram Elam and Kerry Rhodes),1.660,2.920
