Unnamed: 0,DAL,ATL
First Downs,21,19
Rush-Yds-TDs,27-94-2,27-127-0
Cmp-Att-Yd-TD-INT,22-29-278-2-1,19-29-270-4-2
Sacked-Yards,3-20,4-21
Net Pass Yards,258,249
Total Yards,352,376
Fumbles-Lost,4-1,1-1
Turnovers,2,3
Penalties-Yards,4-32,8-68
Third Down Conv.,7-12,6-12
Fourth Down Conv.,0-0,1-2
Time of Possession,33:21,26:39
