Quarter,Time,Tm,Detail,DAL,ATL
1.0,1:32,Cowboys,Terrell Owens 7 yard pass from Tony Romo (Martin Gramatica kick),7,0
2.0,14:50,Cowboys,DeMarcus Ware 41 yard interception return (Martin Gramatica kick),14,0
,11:11,Falcons,Justin Griffith 1 yard pass from Michael Vick (Morten Andersen kick),14,7
,6:30,Falcons,Michael Jenkins 9 yard pass from Michael Vick (Morten Andersen kick),14,14
,3:08,Cowboys,Terrell Owens 51 yard pass from Tony Romo (Martin Gramatica kick),21,14
,0:11,Falcons,Ashley Lelie 8 yard pass from Michael Vick (Morten Andersen kick),21,21
3.0,11:09,Falcons,Justin Griffith 5 yard pass from Michael Vick (Morten Andersen kick),21,28
,7:17,Cowboys,Martin Gramatica 48 yard field goal,24,28
,2:32,Cowboys,Marion Barber III 9 yard rush (Martin Gramatica kick),31,28
4.0,2:18,Cowboys,Marion Barber III 3 yard rush (Martin Gramatica kick),38,28
