Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Nick Chubb,CLE,11,28,1,4,9,0.8,19,1.7,0,
Kareem Hunt,CLE,4,11,1,2,2,0.5,9,2.3,0,
Baker Mayfield,CLE,3,6,0,2,2,0.7,4,1.3,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Frank Gore,NYJ,14,48,0,0,23,1.6,25,1.8,0,
La'Mical Perine,NYJ,9,30,0,3,20,2.2,10,1.1,0,
Sam Darnold,NYJ,7,20,0,2,17,2.4,3,0.4,0,
Ty Johnson,NYJ,2,13,0,,9,4.5,4,2.0,0,
Jamison Crowder,NYJ,1,14,0,1,10,10.0,4,4.0,0,
Breshad Perriman,NYJ,1,6,0,,6,6.0,0,0.0,0,
