Quarter,Time,Tm,Detail,CLE,NYJ
1.0,9:26,Browns,Cody Parkey 44 yard field goal,3,0
,0:34,Jets,Braxton Berrios 43 yard pass from Jamison Crowder (Sam Ficken kick),3,7
2.0,13:33,Jets,Chris Herndon 11 yard pass from Sam Darnold (Sam Ficken kick failed),3,13
3.0,10:26,Jets,Jamison Crowder 30 yard pass from Sam Darnold (Sam Ficken kick),3,20
,2:56,Browns,Nick Chubb 1 yard rush (Cody Parkey kick),10,20
4.0,12:38,Browns,Kareem Hunt 4 yard rush (Cody Parkey kick failed),16,20
,2:52,Jets,Sam Ficken 34 yard field goal,16,23
