Unnamed: 0,CLE,NYJ
First Downs,23,18
Rush-Yds-TDs,18-45-2,34-131-0
Cmp-Att-Yd-TD-INT,28-53-285-0-0,17-33-218-3-0
Sacked-Yards,4-31,2-16
Net Pass Yards,254,202
Total Yards,299,333
Fumbles-Lost,3-2,0-0
Turnovers,2,0
Penalties-Yards,6-51,7-58
Third Down Conv.,6-15,7-18
Fourth Down Conv.,0-1,0-0
Time of Possession,28:12,31:48
