Unnamed: 0,BUF,HOU
First Downs,17,20
Rush-Yds-TDs,21-70-0,26-188-2
Cmp-Att-Yd-TD-INT,26-38-340-3-1,25-30-223-0-1
Sacked-Yards,2-7,3-17
Net Pass Yards,333,206
Total Yards,403,394
Fumbles-Lost,0-0,3-1
Turnovers,1,2
Penalties-Yards,3-17,5-40
Third Down Conv.,4-14,6-13
Fourth Down Conv.,1-1,1-1
Time of Possession,27:35,32:25
